scope,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,primary_policy,gt_oracle
all,local,15,0.6488564254894907,0.8407117042170016,0.8289254123115484,0.6914925965433164,0.0,False,False
all,both_safe,15,0.6489428002241017,0.8416642712206538,0.8301637788055201,0.6917453726740708,8.637473461092782e-05,False,False
all,e2b_mean_s5,15,0.6475960008275138,0.8413551780423011,0.8281121175184528,0.6901620599817984,-0.0012604246619769555,False,False
all,e2b_weighted_s5,15,0.6475388599349894,0.8413551780423011,0.8281696383697614,0.6901122108629796,-0.0013175655545013543,False,False
all,oracle_single,15,0.662076458365821,0.8444568542867323,0.8388726973049653,0.7063208032574892,0.013220032876330223,False,True
all,e2a_t4,15,0.6481518365850988,0.8423146909600733,0.8300550480334227,0.6906376569655474,-0.0007045889043919562,False,False
