target_id,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,primary_policy,gt_oracle
md3016,local,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0,False,False
md3016,both_safe,3,0.6371788577974146,0.90446735395189,0.9415807560137458,0.6835407858686166,-0.006120111274750428,False,False
md3016,e2b_mean_s5,3,0.6392734413352971,0.90446735395189,0.9422680412371135,0.6858111730352503,-0.004025527736867929,False,False
md3016,e2b_weighted_s5,3,0.6391752577319588,0.90446735395189,0.9422680412371135,0.6857825219287218,-0.004123711340206171,False,False
md3016,oracle_single,3,0.6546064473899526,0.90446735395189,0.9453608247422681,0.70281270627096,0.011307478317787556,False,True
md3027,local,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.0,False,False
md3027,both_safe,3,0.8112843729040913,0.994131455399061,1.0,0.8325864521943025,0.00381455399061037,False,False
md3027,e2b_mean_s5,3,0.807344064386318,0.994131455399061,1.0,0.8279842464279281,-0.00012575452716290236,False,False
md3027,e2b_weighted_s5,3,0.8073161189358372,0.994131455399061,1.0,0.8279664910140961,-0.00015369997764369536,False,False
md3027,oracle_single,3,0.8207299351665549,0.994131455399061,1.0,0.8424684619246596,0.013260116253073995,False,True
md3034,local,3,0.5698220615712365,0.881921525485882,0.7851118445177852,0.6681926865451091,0.0,False,False
md3034,both_safe,3,0.5717603506382384,0.881921525485882,0.7895122845617896,0.6699006801355559,0.001938289067001886,False,False
md3034,e2b_mean_s5,3,0.5708173992002376,0.881921525485882,0.7858452511917857,0.669270390110915,0.0009953376290010585,False,False
md3034,e2b_weighted_s5,3,0.5706253164999039,0.881921525485882,0.7858452511917857,0.6690461555671936,0.0008032549286673962,False,False
md3034,oracle_single,3,0.5881921525485883,0.881921525485882,0.8137147048038137,0.6901803624675292,0.01837009097735176,False,True
md3048,local,3,0.552231206948188,0.5855345911949685,0.6012578616352201,0.5821878643231728,0.0,False,False
md3048,both_safe,3,0.5532494758909853,0.5874213836477987,0.60062893081761,0.5846412476443726,0.001018268942797329,False,False
md3048,e2b_mean_s5,3,0.5511530398322851,0.5861635220125786,0.5962264150943396,0.581639893902384,-0.0010781671159028061,False,False
md3048,e2b_weighted_s5,3,0.5512129380053908,0.5861635220125786,0.5962264150943396,0.5816717595725313,-0.001018268942797107,False,False
md3048,oracle_single,3,0.5652590595986822,0.59937106918239,0.6144654088050315,0.5971726498474822,0.01302785265049422,False,True
md3055,local,3,0.6714600709423832,0.8375035950532067,0.8156456715559389,0.6880821904864347,0.0,False,False
md3055,both_safe,3,0.671240943889779,0.8403796376186367,0.8190969226344551,0.6880576975275062,-0.00021912705260429544,False,False
md3055,e2b_mean_s5,3,0.6693920593834312,0.8400920333620938,0.816220880069025,0.6861045964325138,-0.0020680115589520875,False,False
md3055,e2b_weighted_s5,3,0.6693646685018558,0.8400920333620938,0.816508484325568,0.6860941262323553,-0.0020954024405274163,False,False
md3055,oracle_single,3,0.6815946971253272,0.8423928674144378,0.8208225481737129,0.6989698357768153,0.010134626182943918,False,True
