task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
C_sender_ranking,weighted_S5_no_identity,overall,12,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.4968436898323584,0.2740395178418627,0.24524524524524524,0.5303030303030303,658,754,217,245,False,True
C_sender_ranking,weighted_S5_no_identity,receiver_A,12,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.5345690704911379,0.30507481865659025,0.18272425249169436,0.5789473684210527,143,246,40,55,False,True
C_sender_ranking,weighted_S5_no_identity,receiver_B,12,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.5226872596688594,0.3228958783028488,0.33171912832929784,0.5372549019607843,341,276,118,137,False,True
C_sender_ranking,weighted_S5_no_identity,receiver_C,12,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.4647695285010556,0.27390636886748365,0.18596491228070175,0.4732142857142857,174,232,59,53,False,True
C_sender_ranking,weighted_S5_with_pair_identity,overall,21,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.3550856603264535,0.20735499283480427,0.19696969696969696,0.08441558441558442,1253,159,423,39,False,True
C_sender_ranking,weighted_S5_with_pair_identity,receiver_A,21,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.3743471790014883,0.16737398116405675,0.11764705882352941,0.021052631578947368,374,15,93,2,False,True
C_sender_ranking,weighted_S5_with_pair_identity,receiver_B,21,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.3461658245145708,0.22049475859485151,0.0,0.0,602,15,255,0,False,True
C_sender_ranking,weighted_S5_with_pair_identity,receiver_C,21,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.4286154116819142,0.26658771466070136,0.22289156626506024,0.33035714285714285,277,129,75,37,False,True
C_sender_ranking,mean_S5_no_identity,overall,12,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.494377199759636,0.272793002867519,0.2452642073778664,0.5324675324675324,655,757,216,246,False,True
C_sender_ranking,mean_S5_no_identity,receiver_A,12,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.5321607360303071,0.30389178208104045,0.18092105263157895,0.5789473684210527,140,249,40,55,False,True
C_sender_ranking,mean_S5_no_identity,receiver_B,12,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.5185114564464359,0.32024902934477284,0.3325301204819277,0.5411764705882353,340,277,117,138,False,True
C_sender_ranking,mean_S5_no_identity,receiver_C,12,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.4641977480647431,0.27383208877098064,0.18661971830985916,0.4732142857142857,175,231,59,53,False,True
C_sender_ranking,mean_S5_with_pair_identity,overall,21,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.3565756717314791,0.20777794914787562,0.20398009950248755,0.08874458874458875,1252,160,421,41,False,True
C_sender_ranking,mean_S5_with_pair_identity,receiver_A,21,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.3808956839399269,0.17121807470700223,0.125,0.021052631578947368,375,14,93,2,False,True
C_sender_ranking,mean_S5_with_pair_identity,receiver_B,21,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.34774843486827467,0.22081855060262415,0.10526315789473684,0.00784313725490196,600,17,253,2,False,True
C_sender_ranking,mean_S5_with_pair_identity,receiver_C,21,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.42843947923997183,0.2660643229942276,0.22289156626506024,0.33035714285714285,277,129,75,37,False,True
