sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5439371624938636,0.7731958762886598,0.9,0.6348402536695473,970
md3027-1,md3027,A,0.8265006706908116,0.9823943661971831,1.0,0.8575071178958573,1136
md3034-1,md3034,A,0.48535805961548534,0.6457645764576457,0.9515951595159516,0.7647974886138328,909
md3048-1,md3048,A,0.5610961365678347,0.7943396226415095,0.5716981132075472,0.565114046789562,530
md3055-1,md3055,A,0.6858950655326842,0.8748921484037964,0.8352027610008628,0.6951327654079417,1159
md3016-2,md3016,B,0.6766813942071674,0.9577319587628866,0.9783505154639175,0.7160224136471299,970
md3027-2,md3027,B,0.8076374916163649,1.0,1.0,0.8227129076871149,1136
md3034-2,md3034,B,0.1824087170621824,0.35533553355335534,0.14301430143014301,0.1825004376313543,909
md3048-2,md3048,B,0.6297394429469901,0.5509433962264151,0.7037735849056603,0.63622212397689,530
md3055-2,md3055,B,0.4026459591601955,0.5271786022433133,0.48058671268334774,0.4090067665108322,1159
md3016-3,md3016,C,0.7027491408934708,1.0,0.9670103092783505,0.713952926274055,970
md3027-3,md3027,C,0.7657612340710933,1.0,1.0,0.7816279094955773,1136
md3034-3,md3034,C,0.6956362302896957,0.9944994499449945,0.7722772277227723,0.707517135661485,909
md3048-3,md3048,C,0.44025157232704404,0.49056603773584906,0.6396226415094339,0.512138743575728,530
md3055-3,md3055,C,0.8135913554377746,0.9801553062985332,0.997411561691113,0.8459314697847663,1159
