sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5460972017673049,0.7731958762886598,0.8989690721649485,0.6362280008866524,970
md3027-1,md3027,A,0.8310697518443998,0.9823943661971831,1.0,0.8630647567692546,1136
md3034-1,md3034,A,0.49033474776049035,0.6457645764576457,0.9581958195819582,0.7726130387534187,909
md3048-1,md3048,A,0.5187780772686433,0.7660377358490567,0.4641509433962264,0.5229909418089035,530
md3055-1,md3055,A,0.6813755700727228,0.8645383951682485,0.819672131147541,0.6917697990711048,1159
md3016-2,md3016,B,0.6825233186057929,0.9577319587628866,0.9742268041237113,0.7220767253320127,970
md3027-2,md3027,B,0.8080566733735749,1.0,1.0,0.8240722346718837,1136
md3034-2,md3034,B,0.19545287862119545,0.3564356435643564,0.19031903190319033,0.1965161949056726,909
md3048-2,md3048,B,0.5673854447439354,0.42452830188679247,0.5811320754716981,0.5708356270557636,530
md3055-2,md3055,B,0.46780886642836594,0.6436583261432269,0.5565142364106989,0.4732611176640855,1159
md3016-3,md3016,C,0.7081492390770742,1.0,0.9670103092783505,0.7189329506928414,970
md3027-3,md3027,C,0.7711267605633804,1.0,1.0,0.7864948217809553,1136
md3034-3,md3034,C,0.7107234532977107,1.0,0.8063806380638063,0.7225558362049554,909
md3048-3,md3048,C,0.3840970350404313,0.40943396226415096,0.5547169811320755,0.44523190468825247,530
md3055-3,md3055,C,0.8178643329635564,0.9801553062985332,0.998274374460742,0.8501658237238087,1159
