model,tracker_param,runid,auc,precision,normalized_precision,mean_iou,auc_delta_vs_b0
B0-ABC-Plain ep25,b0_abc_plain_4gpu,26025,0.48946360155249385,0.6466585323186212,0.7760503459797876,0.5644671962852276,0.0
Current baseline ep25,pcum_ablation_current_baseline_ep0025_eval,16025,0.48151982560206125,0.6369902570951578,0.7725570444606397,0.5559635920554771,-0.0079437759504326
Original ep21,entertrack_threemdot_original_ep21_eval,15021,0.472014100008686,0.6372296839879812,0.762913052374669,0.5499207675856757,-0.01744950154380785
