group_type,group,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,gt_oracle
target_id,md3016,both,3,0.6436753395516283,0.90446735395189,0.9415807560137458,0.6902374561551069,0.00037637047946326163,False
target_id,md3016,local,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0,False
target_id,md3016,oof_selector,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0,False
target_id,md3016,oracle_4,3,0.6595810832924235,0.90446735395189,0.9463917525773197,0.708371133694643,0.016282114220258492,True
target_id,md3016,oracle_single,3,0.6590738013418426,0.90446735395189,0.9463917525773197,0.7078055627474713,0.015774832269677574,True
target_id,md3016,sender0_only,3,0.6394370806741941,0.90446735395189,0.941237113402062,0.6864915820855669,-0.0038618883979708585,False
target_id,md3016,sender1_only,3,0.646424480445099,0.90446735395189,0.9426116838487973,0.6935855689815905,0.0031255113729340422,False
target_id,md3027,both,3,0.8047032193158953,0.994131455399061,1.0,0.8258901824249247,-0.0027665995975856283,False
target_id,md3027,local,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.0,False
target_id,md3027,oof_selector,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.0,False
target_id,md3027,oracle_4,3,0.8148753632908563,0.994131455399061,1.0,0.836102254866364,0.007405544377375395,True
target_id,md3027,oracle_single,3,0.8147216633132127,0.994131455399061,1.0,0.8359216379343705,0.0072518443997318105,True
target_id,md3027,sender0_only,3,0.8045774647887325,0.994131455399061,1.0,0.8251360285076036,-0.0028923541247484197,False
target_id,md3027,sender1_only,3,0.8051922646993069,0.994131455399061,1.0,0.8265261381016855,-0.0022775542141739713,False
target_id,md3034,both,3,0.5644088218345644,0.881921525485882,0.7774110744407774,0.6614166131679661,-0.005413239736672071,False
target_id,md3034,local,3,0.5698220615712365,0.881921525485882,0.7851118445177852,0.6681926865451091,0.0,False
target_id,md3034,oof_selector,3,0.5681631655229015,0.881921525485882,0.7829116244957829,0.6664306689621957,-0.0016588960483350235,False
target_id,md3034,oracle_4,3,0.5884016973125884,0.881921525485882,0.8096809680968097,0.6892564319725727,0.018579635741351908,True
target_id,md3034,oracle_single,3,0.587755600956921,0.881921525485882,0.8085808580858086,0.6884748413134553,0.017933539385684538,True
target_id,md3034,sender0_only,3,0.5646358286622313,0.881921525485882,0.7814448111477814,0.661258326760619,-0.005186232909005217,False
target_id,md3034,sender1_only,3,0.5625403810222293,0.881921525485882,0.7708104143747708,0.6596394721336916,-0.007281680549007241,False
target_id,md3048,both,3,0.55759209344115,0.5937106918238994,0.6088050314465409,0.5884112448725399,0.005360886492962069,False
target_id,md3048,local,3,0.552231206948188,0.5855345911949685,0.6012578616352201,0.5821878643231728,0.0,False
target_id,md3048,oof_selector,3,0.55675351901767,0.5949685534591195,0.6132075471698113,0.5872726068850159,0.0045223120694820595,False
target_id,md3048,oracle_4,3,0.5718478586403114,0.6056603773584905,0.6245283018867924,0.6038570425088853,0.019616651692123455,True
target_id,md3048,oracle_single,3,0.5710092842168314,0.6050314465408805,0.6251572327044025,0.6031269550422981,0.018778077268643445,True
target_id,md3048,sender0_only,3,0.5551362683438155,0.5918238993710693,0.6075471698113207,0.5853132567208373,0.0029050613956275173,False
target_id,md3048,sender1_only,3,0.5595986822401916,0.5930817610062893,0.610062893081761,0.5903029976445845,0.007367475292003656,False
target_id,md3055,both,3,0.673144610159278,0.8395168248490078,0.8202473396606269,0.6903797358313993,0.0016845392168947093,False
target_id,md3055,local,3,0.6714600709423832,0.8375035950532067,0.8156456715559389,0.6880821904864347,0.0,False
target_id,md3055,oof_selector,3,0.6725009244422532,0.8383664078228358,0.8167960885821111,0.6892001453974741,0.0010408534998699315,False
target_id,md3055,oracle_4,3,0.6838133585329444,0.8421052631578947,0.824849007765315,0.7017652042023207,0.012353287590561202,True
target_id,md3055,oracle_single,3,0.6833066272237972,0.8421052631578947,0.824849007765315,0.701225932798371,0.011846556281413956,True
target_id,md3055,sender0_only,3,0.6728296150211595,0.8406672418751797,0.821972965199885,0.6900735383149098,0.001369544078776208,False
target_id,md3055,sender1_only,3,0.6716107207910488,0.8380788035662928,0.816508484325568,0.6888720366343906,0.00015064984866552944,False
