sender0_label,sender1_label,frame_count,frame_ratio,both_helpful_count,both_harmful_count,both_tie_count,both_helpful_ratio,both_harmful_ratio,both_tie_ratio
helpful,helpful,301,0.02227484644416488,297,0,4,0.9867109634551495,0.0,0.013289036544850499
helpful,harmful,70,0.005180196847480204,14,0,56,0.2,0.0,0.8
helpful,tie,557,0.04121956634352105,170,0,387,0.3052064631956912,0.0,0.6947935368043088
harmful,helpful,102,0.007548286834899726,6,1,95,0.058823529411764705,0.00980392156862745,0.9313725490196079
harmful,harmful,370,0.027381040479538224,0,361,9,0.0,0.9756756756756757,0.024324324324324326
harmful,tie,776,0.05742618219492341,0,212,564,0.0,0.27319587628865977,0.7268041237113402
tie,helpful,623,0.046103751942573816,151,0,472,0.24237560192616373,0.0,0.7576243980738363
tie,harmful,521,0.03855546510767409,1,132,388,0.0019193857965451055,0.2533589251439539,0.744721689059501
tie,tie,10193,0.7543106638052246,11,1,10181,0.0010791719807711174,9.810654370646523e-05,0.9988227214755224
