receiver_sender,receiver_view,sender_view,sender_slot,valid_rows,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_delta_iou,local_auc,sender_auc,auc_delta
A<-B,A,B,0,4236,218,213,3805,0.05146364494806421,0.05028328611898017,0.8982530689329556,-0.0003564074020355716,0.6273595496182077,0.6261062552794598,-0.001253294338747879
A<-C,A,C,1,4236,235,283,3718,0.05547686496694995,0.06680830972615676,0.8777148253068933,-0.0004712518627774315,0.6273595496182077,0.6266785101228727,-0.0006810394953350452
B<-A,B,A,0,4663,358,477,3828,0.0767746086210594,0.10229466009007077,0.8209307312888698,-0.0031971089926298127,0.6131275027070929,0.611106510841573,-0.002020991865519961
B<-C,B,C,1,4663,448,381,3834,0.0960754878833369,0.08170705554364144,0.8222174565730217,-0.0029085571375565733,0.6131275027070929,0.6126199767634217,-0.0005075259436712054
C<-A,C,A,0,4614,352,558,3704,0.07628955353272648,0.12093628088426528,0.8027741655830082,-0.0012847030015429215,0.7060822241431716,0.7047569883730469,-0.0013252357701246664
C<-B,C,B,1,4614,343,297,3974,0.07433896835717382,0.06436931079323797,0.8612917208495882,0.0012520702875070389,0.7060822241431716,0.7079214306324308,0.0018392064892592819
