task,feature,rows,positive_prior,roc_auc_raw_direction,pr_auc_raw_direction
A_helpful_vs_harmful,sender_score,4163,0.4693730482824886,0.5161257589103477,0.48878080221379644
A_helpful_vs_harmful,sender_apce,4163,0.4693730482824886,0.5284067504620764,0.4917484854511377
A_helpful_vs_harmful,prompt_topk_score_mean,4163,0.4693730482824886,0.4771074690725065,0.4610573011534973
A_helpful_vs_harmful,prompt_topk_score_std,4163,0.4693730482824886,0.5139103639016529,0.4906836192244058
A_helpful_vs_harmful,prompt_topk_score_min,4163,0.4693730482824886,0.4892371766565826,0.46335759842467594
A_helpful_vs_harmful,prompt_topk_score_max,4163,0.4693730482824886,0.5158908401611904,0.48789241123901683
A_helpful_vs_harmful,prompt_top1_top8_gap,4163,0.4693730482824886,0.5142266006793647,0.4841971847504131
A_helpful_vs_harmful,prompt_norm_mean,4163,0.4693730482824886,0.48098988366656736,0.47186825637205243
A_helpful_vs_harmful,prompt_norm_std,4163,0.4693730482824886,0.5787554681161509,0.5538460773982802
A_helpful_vs_harmful,prompt_pairwise_cos_mean,4163,0.4693730482824886,0.48897260346966187,0.4843730016110557
A_helpful_vs_harmful,prompt_pairwise_cos_std,4163,0.4693730482824886,0.5329568532564047,0.5192930235999933
A_helpful_vs_harmful,prompt_pairwise_cos_min,4163,0.4693730482824886,0.4926191726133854,0.48665797838420227
A_helpful_vs_harmful,prompt_pairwise_cos_max,4163,0.4693730482824886,0.5662641153965378,0.5742370544768184
A_helpful_vs_harmful,set_cos_mean,4163,0.4693730482824886,0.3883715450842441,0.3908179793784697
A_helpful_vs_harmful,set_cos_max,4163,0.4693730482824886,0.4820741240472933,0.47186918619212515
A_helpful_vs_harmful,sender_to_receiver_best_mean,4163,0.4693730482824886,0.44772629231954697,0.48284893346567714
A_helpful_vs_harmful,receiver_to_sender_best_mean,4163,0.4693730482824886,0.3921311717719407,0.44989194736422655
A_helpful_vs_harmful,symmetric_best_match,4163,0.4693730482824886,0.40951654926134967,0.45707742603412177
A_helpful_vs_harmful,branch_score,4163,0.4693730482824886,0.529544160323011,0.5192789210720044
A_helpful_vs_harmful,branch_apce,4163,0.4693730482824886,0.5400689373007882,0.5227726218850284
A_helpful_vs_harmful,local_branch_center_displacement,4163,0.4693730482824886,0.5598231946818473,0.5283404553956528
A_helpful_vs_harmful,local_branch_scale_difference,4163,0.4693730482824886,0.6163118868423723,0.5517861151498448
A_helpful_vs_harmful,residual_norm,4163,0.4693730482824886,0.5150066513977202,0.5287105577905216
A_helpful_vs_harmful,relative_residual_norm,4163,0.4693730482824886,0.5133235303793497,0.5275458941257487
A_helpful_vs_harmful,residual_scale,4163,0.4693730482824886,0.5,0.4693730482824886
B_replace_local,sender_score,26996,0.07238109349533264,0.3828275866043512,0.0538715636866725
B_replace_local,sender_apce,26996,0.07238109349533264,0.38863884722795694,0.05411889811815159
B_replace_local,prompt_topk_score_mean,26996,0.07238109349533264,0.5961724425789647,0.09349555460632199
B_replace_local,prompt_topk_score_std,26996,0.07238109349533264,0.385550770100295,0.05636498270330427
B_replace_local,prompt_topk_score_min,26996,0.07238109349533264,0.6125227018813102,0.09885315053115931
B_replace_local,prompt_topk_score_max,26996,0.07238109349533264,0.3836049909028983,0.053919198055215244
B_replace_local,prompt_top1_top8_gap,26996,0.07238109349533264,0.3818620030528855,0.053630882033575855
B_replace_local,prompt_norm_mean,26996,0.07238109349533264,0.3994568551650014,0.05587141852439577
B_replace_local,prompt_norm_std,26996,0.07238109349533264,0.6041565216495652,0.09771734459981106
B_replace_local,prompt_pairwise_cos_mean,26996,0.07238109349533264,0.47603446884770945,0.08530095468335618
B_replace_local,prompt_pairwise_cos_std,26996,0.07238109349533264,0.5123499072223966,0.08364854411421516
B_replace_local,prompt_pairwise_cos_min,26996,0.07238109349533264,0.4999447703702202,0.08903498689865585
B_replace_local,prompt_pairwise_cos_max,26996,0.07238109349533264,0.5587358784836153,0.10031840988284724
B_replace_local,set_cos_mean,26996,0.07238109349533264,0.48240766157686205,0.06594805739474423
B_replace_local,set_cos_max,26996,0.07238109349533264,0.5545938912698315,0.08293111773838924
B_replace_local,sender_to_receiver_best_mean,26996,0.07238109349533264,0.5131907464037694,0.07334049339798832
B_replace_local,receiver_to_sender_best_mean,26996,0.07238109349533264,0.4917735543079847,0.0686983071096924
B_replace_local,symmetric_best_match,26996,0.07238109349533264,0.5027341783306604,0.06852967715934005
B_replace_local,branch_score,26996,0.07238109349533264,0.33889172638278847,0.05431345054050069
B_replace_local,branch_apce,26996,0.07238109349533264,0.3357562161484775,0.05403696852572851
B_replace_local,local_branch_center_displacement,26996,0.07238109349533264,0.6927241252096682,0.21699556912958592
B_replace_local,local_branch_scale_difference,26996,0.07238109349533264,0.7208896832236888,0.2251392154411142
B_replace_local,residual_norm,26996,0.07238109349533264,0.5472868937401133,0.1078631474415892
B_replace_local,relative_residual_norm,26996,0.07238109349533264,0.5438208027504581,0.10683905682871064
B_replace_local,residual_scale,26996,0.07238109349533264,0.5,0.07238109349533264
