sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5449680903289151,0.7731958762886598,0.8979381443298969,0.6361957695351812,970
md3027-1,md3027,A,0.824488598256204,0.9823943661971831,1.0,0.8561338877256255,1136
md3034-1,md3034,A,0.4858295353344858,0.6457645764576457,0.9493949394939494,0.7644520356330456,909
md3048-1,md3048,A,0.5302785265049417,0.7377358490566037,0.5811320754716981,0.5385619620231493,530
md3055-1,md3055,A,0.688606762808661,0.8766177739430544,0.8343399482312338,0.697718754519284,1159
md3016-2,md3016,B,0.683456062837506,0.9577319587628866,0.977319587628866,0.7241010232682862,970
md3027-2,md3027,B,0.8143863179074448,1.0,1.0,0.8305048113074055,1136
md3034-2,md3034,B,0.41222693697941215,1.0,0.40594059405940597,0.41050782614287296,909
md3048-2,md3048,B,0.6432165318957772,0.5735849056603773,0.7226415094339622,0.6514690341917014,530
md3055-2,md3055,B,0.38958050864867083,0.5047454702329595,0.45211389128559104,0.3955759384555956,1159
md3016-3,md3016,C,0.7073146784486991,1.0,0.9608247422680413,0.7185634096501641,970
md3027-3,md3027,C,0.7706656606304494,1.0,1.0,0.7867550343229048,1136
md3034-3,md3034,C,0.7024988213107025,1.0,0.7722772277227723,0.714018428741194,909
md3048-3,md3048,C,0.3959568733153639,0.40943396226415096,0.5735849056603773,0.4589676073500529,530
md3055-3,md3055,C,0.8105509675828916,0.9801553062985332,0.999137187230371,0.8431775005743027,1159
