epoch,train_total_loss,train_giou_loss,train_l1_loss,train_focal_loss,train_iou,val_total_loss,val_giou_loss,val_l1_loss,val_focal_loss,val_iou,lr_group0,lr_group1
1,1.0448927038179503,0.2524384852912693,0.023171759278823943,0.42415693584441516,0.7680973120662904,0.9392955274771027,0.2285352815175014,0.019055534936089236,0.3869472916176585,0.7845975572306415,8.000000000000001e-06,2.4000000000000003e-06
2,0.9356542001763989,0.22719710755348185,0.020228373324291588,0.3801181206319272,0.7889715062412953,0.9319145140535263,0.22629867066461556,0.018552650602902957,0.3865539214744793,0.7869766313655701,8.000000000000001e-06,2.4000000000000003e-06
3,0.9344753215379181,0.226248358050982,0.019948923375043587,0.3822339866881568,0.7897506997452846,0.9566495148680857,0.23316822444053897,0.020333602232609528,0.3886450534244858,0.7825199773604857,8.000000000000001e-06,2.4000000000000003e-06
4,0.8835115037626685,0.21359836330678744,0.018114605498396684,0.36574174814919674,0.7997834948367549,0.9134763841269915,0.22101324690429489,0.018079177456544367,0.38105400519008936,0.7915310578888912,8.000000000000001e-06,2.4000000000000003e-06
5,0.9160189119610518,0.21916450973351778,0.019168399246202575,0.3818478959694298,0.7960927178727253,0.9041109946348874,0.21753217930674773,0.01839761482634699,0.3770585598784321,0.7964678695707608,8.000000000000001e-06,2.4000000000000003e-06
6,0.8668276339703134,0.20911308501826387,0.017675780167596206,0.36022256138248177,0.803539922859933,0.9101187741905187,0.22271704461272818,0.018398832061631783,0.37269052542055453,0.7901848360710181,8.000000000000001e-06,2.4000000000000003e-06
7,0.8434282340572946,0.20328047663635648,0.01705914867503775,0.35157153688309106,0.8083256252540474,0.9220254794958437,0.22332215309143066,0.019542776589379807,0.3776672906798448,0.7932435775079404,8.000000000000001e-06,2.4000000000000003e-06
8,0.8179999508460375,0.1988814947737589,0.016260127507150172,0.338936322716893,0.811681516202167,0.890474189358386,0.2147019299381345,0.017977739559775375,0.3711816308166626,0.7985662684614859,8.000000000000001e-06,2.4000000000000003e-06
9,0.8280905475980719,0.19676657382647186,0.01561240544956592,0.3564953724729519,0.8124120309684023,0.9490525849203372,0.2291053761985424,0.02050945763567499,0.38829454331975866,0.7875815683813127,8.000000000000001e-06,2.4000000000000003e-06
10,0.8290039104355704,0.2001176956362194,0.016832514595240357,0.3446059453084854,0.8117139952845063,0.9445749914369901,0.22551873347551005,0.019369336270101352,0.3966908429196493,0.7887253408019764,8.000000000000001e-06,2.4000000000000003e-06
11,0.8227150005565758,0.19949522409174175,0.0164546370924347,0.34145136789625713,0.8120143228835522,0.9543085351931644,0.23201438704913943,0.019641537164502294,0.3920720717554278,0.7836849228371059,8.000000000000001e-06,2.4000000000000003e-06
12,0.8175928380952945,0.19688608536455357,0.016216901902937224,0.34273615743726904,0.8141546801129977,0.9301677254325772,0.22487376850769047,0.01928397847767819,0.38400029365733634,0.789537281621374,8.000000000000001e-06,2.4000000000000003e-06
13,0.7892573388947381,0.1907176449166404,0.015479548525893047,0.33042430640094833,0.8189454930490915,0.9244069915510547,0.22743116991192686,0.01988470625902613,0.3701211184142042,0.7882018294550625,8.000000000000001e-06,2.4000000000000003e-06
14,0.7816833096974436,0.1879114191797044,0.01507083398020931,0.3305063012047771,0.8217569494909704,0.9332294808883289,0.2248055104584618,0.01873670824522853,0.3899349207822199,0.7886811021496266,8.000000000000001e-06,2.4000000000000003e-06
15,0.7879257440964372,0.19013572555118138,0.015537540704425808,0.3299665892674694,0.820225216216512,0.9563667017720812,0.23248544871913324,0.020045280282231254,0.39116940288281543,0.7836655493885434,8.000000000000001e-06,2.4000000000000003e-06
16,0.783415101988448,0.18952359840604993,0.01519822580243149,0.32837677574049057,0.819906751354535,0.9258963793463034,0.2286754300462583,0.019163317407303742,0.372728930934832,0.7860230258441864,8.000000000000001e-06,2.4000000000000003e-06
17,0.7964562284085492,0.19043888844384083,0.015457055322411994,0.33829317433909634,0.8197998007171686,0.9605191633663077,0.23228641643243675,0.020227508895006206,0.3948087865028549,0.7835166242086523,8.000000000000001e-06,2.4000000000000003e-06
18,0.7860401205718532,0.19086989147133296,0.015466520300755906,0.3269677376527755,0.8192646369404258,0.9620878505993657,0.23113258700957262,0.020293433210893854,0.3983555104218899,0.7857872941489737,8.000000000000001e-06,2.4000000000000003e-06
19,0.7782416259580188,0.1870074322488574,0.014997055582288246,0.32924148329078334,0.822275801923538,0.9764744413355879,0.2357004500540395,0.020349804263847495,0.4033245163817795,0.7799698496353609,8.000000000000001e-06,2.4000000000000003e-06
20,0.7515961218542522,0.1790955893728468,0.014059859562665238,0.3231056456789377,0.8292154344850116,0.900818960126921,0.22304224112667073,0.01925213944412595,0.358473780476978,0.7926649297728682,8.000000000000001e-06,2.4000000000000003e-06
21,0.7713805045319934,0.1854440702994665,0.014923578638997348,0.3258744697419203,0.8241198031637401,0.9373689127850231,0.2293331715512402,0.018428845666415346,0.3865583397152563,0.7833641513039932,8.000000000000001e-06,2.4000000000000003e-06
22,0.7504049036502833,0.1806640274392236,0.014092344445900781,0.3186151258461177,0.8274051414728154,0.9381636272245976,0.22563656245535912,0.020046781199036332,0.3866565961120134,0.7908426060502332,8.000000000000001e-06,2.4000000000000003e-06
23,0.7590478225416609,0.18110107995404137,0.014199473719629983,0.32584829384256664,0.8268995768096705,0.8988325020527447,0.22120881117813923,0.01800838684905555,0.36637294509094515,0.7905467119924526,8.000000000000001e-06,2.4000000000000003e-06
