candidate,coverage,feature,sample_count_each,wasserstein_candidate_natural,wasserstein_clean_natural,normalized_distance,candidate_closer_than_clean,smd_candidate_minus_clean,abs_smd_candidate_clean
Clean,0.0,max_score,2341,0.1860033801889277,0.1860033801889277,0.9999999999946237,False,0.0,0.0
Clean,0.0,apce,2341,60.978953870531335,60.978953870531335,0.9999999999999836,False,0.0,0.0
Clean,0.0,score_entropy,2341,0.1688731866978214,0.1688731866978214,0.9999999999940784,False,0.0,0.0
Clean,0.0,prompt_topk_score_mean,2341,0.025451543079335077,0.025451543079335077,0.9999999999607097,False,0.0,0.0
Clean,0.0,prompt_top1_top8_gap,2341,0.22390182893635727,0.22390182893635727,0.9999999999955337,False,0.0,0.0
Clean,0.0,prompt_norm_mean,2341,0.05248310198288909,0.05248310198288909,0.9999999999809462,False,0.0,0.0
Clean,0.0,prompt_pairwise_cos_mean,2341,0.027750603692341134,0.027750603692341134,0.9999999999639648,False,0.0,0.0
P25,0.25,max_score,2341,0.08091176027214868,0.1860033801889277,0.43500155851753786,True,-0.8975407413066014,0.8975407413066014
P25,0.25,apce,2341,34.80857048804614,60.978953870531335,0.5708292497432814,True,-0.6144208025244888,0.6144208025244888
P25,0.25,score_entropy,2341,0.10299115611454301,0.1688731866978214,0.6098727579424651,True,0.3517952619625135,0.3517952619625135
P25,0.25,prompt_topk_score_mean,2341,0.015881411775800214,0.025451543079335077,0.6239862049099434,True,0.23611561697092853,0.23611561697092853
P25,0.25,prompt_top1_top8_gap,2341,0.11185749678441674,0.22390182893635727,0.49958277391165024,True,-0.815607143677154,0.815607143677154
P25,0.25,prompt_norm_mean,2341,0.04645180447597577,0.05248310198288909,0.8850811541252885,True,-0.09097822264067798,0.09097822264067798
P25,0.25,prompt_pairwise_cos_mean,2341,0.03649824702398535,0.027750603692341134,1.3152235326953716,False,-0.15664997122671898,0.15664997122671898
P50,0.5,max_score,2341,0.09956224914520839,0.1860033801889277,0.5352711818653272,True,-1.8089108476095987,1.8089108476095987
P50,0.5,apce,2341,29.325608144097732,60.978953870531335,0.48091359858944926,True,-1.416299115922509,1.416299115922509
P50,0.5,score_entropy,2341,0.0605899363609778,0.1688731866978214,0.35878956005631335,True,0.8324141918525705,0.8324141918525705
P50,0.5,prompt_topk_score_mean,2341,0.01038611900826796,0.025451543079335077,0.40807423642194446,True,0.7407531359778483,0.7407531359778483
P50,0.5,prompt_top1_top8_gap,2341,0.11458403831335888,0.22390182893635727,0.5117601712195792,True,-1.6897433500394807,1.6897433500394807
P50,0.5,prompt_norm_mean,2341,0.04922148286150542,0.05248310198288909,0.9378539187073033,True,-1.193961799271683,1.193961799271683
P50,0.5,prompt_pairwise_cos_mean,2341,0.02723678695702339,0.027750603692341134,0.9814844843739008,True,-0.0031977092824261146,0.0031977092824261146
P75,0.75,max_score,2341,0.18173801664315523,0.1860033801889277,0.9770683546588393,True,-2.6433036405648065,2.6433036405648065
P75,0.75,apce,2341,51.850466154417084,60.978953870531335,0.850301011468704,True,-2.32181908728025,2.32181908728025
P75,0.75,score_entropy,2341,0.12109290612388095,0.1688731866978214,0.717064138428591,True,1.7191773773909502,1.7191773773909502
P75,0.75,prompt_topk_score_mean,2341,0.017376307173704093,0.025451543079335077,0.6827211662121089,True,0.7876194725344805,0.7876194725344805
P75,0.75,prompt_top1_top8_gap,2341,0.20598472585437747,0.22390182893635727,0.9199778618691292,True,-2.672935551899679,2.672935551899679
P75,0.75,prompt_norm_mean,2341,0.08996787594710084,0.05248310198288909,1.7142255801632797,False,-1.8281897885171672,1.8281897885171672
P75,0.75,prompt_pairwise_cos_mean,2341,0.0371430242789805,0.027750603692341134,1.3384582436270789,False,0.6674775609599696,0.6674775609599696
P100,1.0,max_score,2341,0.2963854152791199,0.1860033801889277,1.5934410169131403,False,-3.4315139025632577,3.4315139025632577
P100,1.0,apce,2341,73.42449350328539,60.978953870531335,1.204095656661753,False,-2.8605463820321226,2.8605463820321226
P100,1.0,score_entropy,2341,0.193758900996993,0.1688731866978214,1.1473633250170987,False,2.2776735947277467,2.2776735947277467
P100,1.0,prompt_topk_score_mean,2341,0.019204446795288696,0.025451543079335077,0.7545494092311775,True,0.1249884267127403,0.1249884267127403
P100,1.0,prompt_top1_top8_gap,2341,0.3244460949762567,0.22390182893635727,1.449055135083463,False,-3.5885354283300246,3.5885354283300246
P100,1.0,prompt_norm_mean,2341,0.13129831531627317,0.05248310198288909,2.5017255145585384,False,-1.9469682621712996,1.9469682621712996
P100,1.0,prompt_pairwise_cos_mean,2341,0.07992256171476225,0.027750603692341134,2.8800296598210577,False,1.2135165026407797,1.2135165026407797
