view,selected_candidate,feature,sample_count_each,wasserstein_selected_natural,wasserstein_clean_natural,wasserstein_p100_natural,normalized_distance_selected,normalized_distance_p100,selected_closer_than_clean,d_source_selected,d_source_p100,split
A,P50,max_score,652,0.1289308992403051,0.16130392909324243,0.3484341986920182,0.7993041456849865,2.160109804197294,True,1.0803031734062767,2.971873142182465,train
A,P50,apce,652,37.164220745578135,47.989584188519814,82.87248933900354,0.774422645538735,1.7268849218082363,True,1.0803031734062767,2.971873142182465,train
A,P50,score_entropy,652,0.05821725756981256,0.1598112998998787,0.2367881683781286,0.36428749159741025,1.4816735019675957,True,1.0803031734062767,2.971873142182465,train
A,P50,prompt_topk_score_mean,652,0.013903306340055963,0.021370036996032564,0.02000726228637015,0.6505981408448929,0.9362296513173259,True,1.0803031734062767,2.971873142182465,train
A,P50,prompt_top1_top8_gap,652,0.14515874008048166,0.19233072975341894,0.3805745983499165,0.7547350351440474,1.9787508675075494,True,1.0803031734062767,2.971873142182465,train
A,P50,prompt_norm_mean,652,0.055363444462875645,0.016929309060968505,0.14661363151175844,3.27027194436712,8.660343489216832,False,1.0803031734062767,2.971873142182465,train
A,P50,prompt_pairwise_cos_mean,652,0.019354747619731296,0.020405577507121433,0.0787475673607522,0.9485028106667451,3.8591197592624185,True,1.0803031734062767,2.971873142182465,train
B,P50,max_score,1011,0.09051204498573534,0.18711702276526054,0.3312539119848246,0.4837189243802769,1.7703034554938082,True,0.6126356610913329,1.851567822800696,train
B,P50,apce,1011,26.038430631337604,55.71862105823294,80.48782987953058,0.4673200832469223,1.4445409514964354,True,0.6126356610913329,1.851567822800696,train
B,P50,score_entropy,1011,0.05871680691381354,0.18005708263105502,0.23454746743986563,0.32610106781414866,1.3026283887935761,True,0.6126356610913329,1.851567822800696,train
B,P50,prompt_topk_score_mean,1011,0.010160098274254068,0.02726884142050757,0.024798947860856204,0.37259002380059175,0.9094243307783768,True,0.6126356610913329,1.851567822800696,train
B,P50,prompt_top1_top8_gap,1011,0.10511742093767068,0.22325804852442974,0.35930623836413716,0.4708337353656368,1.6093764177250305,True,0.6126356610913329,1.851567822800696,train
B,P50,prompt_norm_mean,1011,0.058020752096506305,0.059724482301434706,0.1677891403937788,0.9714735039928685,2.809386267161311,True,0.6126356610913329,1.851567822800696,train
B,P50,prompt_pairwise_cos_mean,1011,0.04003289966861525,0.033460789423668064,0.10424089747177977,1.1964122890388855,3.115314948156333,False,0.6126356610913329,1.851567822800696,train
C,P50,max_score,678,0.08757344897078202,0.20809504607346205,0.19433842862030398,0.42083389596620124,0.9338926240020362,True,0.4630316259410356,0.8334922431344963,train
C,P50,apce,678,29.60703726433723,81.31415373174842,54.12985258186813,0.3641068117367254,0.6656879534212372,True,0.4630316259410356,0.8334922431344963,train
C,P50,score_entropy,678,0.06584505424738633,0.16091069614289433,0.09201978116260517,0.40920246960155104,0.5718686412264137,True,0.4630316259410356,0.8334922431344963,train
C,P50,prompt_topk_score_mean,678,0.01872118285535711,0.028344457260275308,0.0173283020050916,0.6604883163853809,0.6113471090789179,True,0.4630316259410356,0.8334922431344963,train
C,P50,prompt_top1_top8_gap,678,0.1029698519931782,0.25522221044629023,0.21848829384827245,0.40345176782505787,0.8560708469116396,True,0.4630316259410356,0.8334922431344963,train
C,P50,prompt_norm_mean,678,0.03501635666793778,0.07808699931366957,0.06236036266900797,0.44842748441173025,0.7986010887383763,True,0.4630316259410356,0.8334922431344963,train
C,P50,prompt_pairwise_cos_mean,678,0.017622277448310963,0.03295666155210287,0.04603971264003653,0.5347106356606022,1.3969774385628537,True,0.4630316259410356,0.8334922431344963,train
A,P50,max_score,468,0.08320650577736206,0.2526926356089166,0.18212700173513502,0.32927950423457747,0.7207451902804393,True,0.3974561735855038,0.7039287531406675,val
A,P50,apce,468,32.109339569368935,106.21994678586977,48.50204995452848,0.3022910530552071,0.4566190383460083,True,0.3974561735855038,0.7039287531406675,val
A,P50,score_entropy,468,0.07697586568757,0.176403262740017,0.08844105065123647,0.43636304959155214,0.5013572270546915,True,0.3974561735855038,0.7039287531406675,val
A,P50,prompt_topk_score_mean,468,0.010966697628172034,0.04554945443812598,0.03315624055794926,0.24076463183172359,0.7279174024413513,True,0.3974561735855038,0.7039287531406675,val
A,P50,prompt_top1_top8_gap,468,0.11792375070926471,0.33066960497417003,0.19665354773656935,0.35662107715681823,0.5947131057036104,True,0.3974561735855038,0.7039287531406675,val
A,P50,prompt_norm_mean,468,0.04648407300313314,0.10826479879199949,0.09060013396108252,0.42935537239587834,0.8368383350003585,True,0.3974561735855038,0.7039287531406675,val
A,P50,prompt_pairwise_cos_mean,468,0.038403483664887585,0.05585810733147156,0.06084684925711053,0.6875185268327698,1.0893109731582133,True,0.3974561735855038,0.7039287531406675,val
B,P50,max_score,41,0.04091867804527283,0.22788415231355807,0.19708356461146984,0.17955912085010217,0.8648410282581963,True,0.4308528530527305,0.7171258804598669,val
B,P50,apce,41,29.408625719023913,111.45797562017674,34.78248028638886,0.2638539373731451,0.31206811439783616,True,0.4308528530527305,0.7171258804598669,val
B,P50,score_entropy,41,0.12679358662628545,0.1808221739966695,0.05783101262115851,0.7012059628700162,0.3198225712179738,True,0.4308528530527305,0.7171258804598669,val
B,P50,prompt_topk_score_mean,41,0.0289890715261785,0.05787101824109147,0.07494887764134057,0.5009255479989776,1.295102106685032,True,0.4308528530527305,0.7171258804598669,val
B,P50,prompt_top1_top8_gap,41,0.08653942986232478,0.3074799572549215,0.19132671232630566,0.2814473848462791,0.6222412479622559,True,0.4308528530527305,0.7171258804598669,val
B,P50,prompt_norm_mean,41,0.026615096301567262,0.10561326654945932,0.06007773701737567,0.2520052373235823,0.5688464998729308,True,0.4308528530527305,0.7171258804598669,val
B,P50,prompt_pairwise_cos_mean,41,0.051844178176507716,0.06194249013575112,0.06423185947464734,0.8369727801070114,1.036959594824844,True,0.4308528530527305,0.7171258804598669,val
C,P50,max_score,90,0.15677960912386577,0.15209997958607144,0.40644455783896977,1.0307667992428324,2.6722196738119597,False,1.5963325373175254,3.463872033234938,val
C,P50,apce,90,51.91945508321126,28.926816813151042,114.77470751868354,1.79485545950584,3.9677614118432616,False,1.5963325373175254,3.463872033234938,val
C,P50,score_entropy,90,0.06222459144062466,0.1957368486457401,0.2996714813841714,0.31789921964527845,1.5309916525988898,True,1.5963325373175254,3.463872033234938,val
C,P50,prompt_topk_score_mean,90,0.013255130582385593,0.02895477381017473,0.03264282908704546,0.45778739868000434,1.127372961015754,True,1.5963325373175254,3.463872033234938,val
C,P50,prompt_top1_top8_gap,90,0.17205595440334745,0.16578125688764783,0.45916832817925346,1.0378492577053762,2.7697240134188887,False,1.5963325373175254,3.463872033234938,val
C,P50,prompt_norm_mean,90,0.1346133232116699,0.027047337426079645,0.23259769015842013,4.976952854401698,8.599652028060426,False,1.5963325373175254,3.463872033234938,val
C,P50,prompt_pairwise_cos_mean,90,0.056213452749782136,0.036075502302911545,0.1291280213329527,1.5582167720416495,3.579382491895388,False,1.5963325373175254,3.463872033234938,val
