split,candidate,coverage,pair_count,delta_max_score_mean,delta_max_score_median,delta_max_score_p10,delta_max_score_p90,delta_apce_mean,delta_apce_median,delta_apce_p10,delta_apce_p90,delta_score_entropy_mean,delta_score_entropy_median,delta_score_entropy_p10,delta_score_entropy_p90,bbox_center_displacement_normalized_mean,bbox_center_displacement_normalized_median,bbox_center_displacement_normalized_p10,bbox_center_displacement_normalized_p90,bbox_center_displacement_pixels_256_mean,bbox_center_displacement_pixels_256_median,bbox_center_displacement_pixels_256_p10,bbox_center_displacement_pixels_256_p90,prompt_symmetric_best_match_cos_mean,prompt_symmetric_best_match_cos_median,prompt_symmetric_best_match_cos_p10,prompt_symmetric_best_match_cos_p90
train,P25,0.25,2341,-0.11676556463936158,-0.07704770565032959,-0.3006938099861145,-0.007366478443145752,-28.256573522666336,-16.9583740234375,-81.02586364746094,0.3767852783203125,0.06588203058327838,0.054682403802871704,-0.017473459243774414,0.16061371564865112,0.018766873635733226,0.009746431421631237,0.002203477432966228,0.04529770919199873,4.804319650747706,2.4950864439375966,0.5640902228393544,11.596213553151674,0.937185092939367,0.9436001181602478,0.8865955471992493,0.9798116087913513
train,P50,0.5,2341,-0.2340960811787006,-0.2210131287574768,-0.4010741710662842,-0.08952701091766357,-71.26736510813312,-72.44247436523438,-124.61666870117188,-13.381561279296875,0.15069502616593186,0.14767906069755554,0.029868125915527344,0.27021628618240356,0.04295778031468074,0.017461889798034428,0.0038073816072645263,0.11508976655719712,10.99719176055827,4.470243788296814,0.9746896914597187,29.462980238642462,0.88526349577421,0.8938217759132385,0.8011471033096313,0.9532282948493958
train,P75,0.75,2341,-0.36774139683208296,-0.36093324422836304,-0.5707455277442932,-0.1642458438873291,-111.88366938839097,-117.82109069824219,-175.22695922851562,-41.46241760253906,0.287623816912549,0.2982574701309204,0.08603215217590332,0.467544823884964,0.1168386386386197,0.0333982270818701,0.006728856831020641,0.3708334458309862,29.91069149148664,8.549946132958745,1.7225873487412842,94.93336213273247,0.782267903998997,0.7911573052406311,0.6909363567829132,0.8562932312488556
train,P100,1.0,2341,-0.4823887954680476,-0.48757927119731903,-0.775327742099762,-0.18974721431732178,-134.3636832310572,-145.34872436523438,-204.1825408935547,-44.52445983886719,0.3624959204382542,0.37491676211357117,0.086600661277771,0.6188752800226212,0.23765307338576147,0.26722544052743286,0.02664467014830416,0.43449566221133334,60.83918678675494,68.40971277502281,6.821035557965865,111.23088952610134,0.7646343935152141,0.7810253500938416,0.647619366645813,0.8490071892738342
