target_id,selected_candidate,feature,sample_count_each,wasserstein_selected_natural,wasserstein_clean_natural,wasserstein_p100_natural,normalized_distance_selected,normalized_distance_p100,selected_closer_than_clean,d_source_selected,d_source_p100,split
md3005,P50,max_score,420,0.029287889564321153,0.1736291018270311,0.0840136836859442,0.16868076408832086,0.48386867639938935,True,0.4383845726356026,0.5401474067513675,train
md3005,P50,apce,420,10.681492174239386,81.42063168571109,9.963930150440762,0.13118901134875136,0.1223759868248389,True,0.4383845726356026,0.5401474067513675,train
md3005,P50,score_entropy,420,0.04156648218631744,0.08897497121776854,0.029990579400743757,0.4671705044345025,0.33706759316621715,True,0.4383845726356026,0.5401474067513675,train
md3005,P50,prompt_topk_score_mean,420,0.018911822743359067,0.04395311496087483,0.06025653053075075,0.43027263846403796,1.370927420798676,True,0.4383845726356026,0.5401474067513675,train
md3005,P50,prompt_top1_top8_gap,420,0.03593090346881322,0.2435450030224664,0.047233253411416494,0.14753291187563866,0.19394055646818345,True,0.4383845726356026,0.5401474067513675,train
md3005,P50,prompt_norm_mean,420,0.024952688671293712,0.05343476704188756,0.03591593333653041,0.4669747816298386,0.6721454087692333,True,0.4383845726356026,0.5401474067513675,train
md3005,P50,prompt_pairwise_cos_mean,420,0.03933315475781759,0.031294494299661545,0.018798796903519405,1.2568713966081284,0.6007062048330339,False,0.4383845726356026,0.5401474067513675,train
md3017,P50,max_score,10,0.08074239194393158,0.22930774986743926,0.22916272282600403,0.3521136638000936,0.9993675440864147,True,0.5286344160871373,0.9669303152761353,train
md3017,P50,apce,10,37.059090042114256,94.32805061340332,96.41690769195557,0.39287454581244197,1.0221446013669069,True,0.5286344160871373,0.9669303152761353,train
md3017,P50,score_entropy,10,0.062499123811721805,0.1651623785495758,0.1722442090511322,0.3784101704044145,1.0428779880909005,True,0.5286344160871373,0.9669303152761353,train
md3017,P50,prompt_topk_score_mean,10,0.023630081117153166,0.05251215100288391,0.018859565258026123,0.4499926334269841,0.35914669076555694,True,0.5286344160871373,0.9669303152761353,train
md3017,P50,prompt_top1_top8_gap,10,0.1120019644498825,0.2980645358562469,0.29706463366746905,0.3757641415734343,0.9966453500182365,True,0.5286344160871373,0.9669303152761353,train
md3017,P50,prompt_norm_mean,10,0.09614419937133789,0.1696554183959961,0.19303302764892577,0.5667027925177084,1.1377946514930972,True,0.5286344160871373,0.9669303152761353,train
md3017,P50,prompt_pairwise_cos_mean,10,0.15704367458820342,0.1325729638338089,0.16048426330089569,1.184582965074885,1.2105353811118333,False,0.5286344160871373,0.9669303152761353,train
md3018,P50,max_score,5,0.08959885835647582,0.12665367126464844,0.217060786485672,0.7074319872540261,1.7138136172176177,True,1.0038308044685025,1.6467350473844244,train
md3018,P50,apce,5,29.224366760253908,72.2765899658203,64.97585525512696,0.4043406969542109,0.8989889435272642,True,1.0038308044685025,1.6467350473844244,train
md3018,P50,score_entropy,5,0.04722127914428711,0.17702094316482545,0.06598532199859619,0.2667553245383643,0.37275432397162206,True,1.0038308044685025,1.6467350473844244,train
md3018,P50,prompt_topk_score_mean,5,0.007128220796585083,0.06446118652820587,0.018490475416183472,0.11058159460585558,0.2868466500815318,True,1.0038308044685025,1.6467350473844244,train
md3018,P50,prompt_top1_top8_gap,5,0.08831987380981446,0.19538095593452454,0.2676382213830948,0.45203931666175234,1.3698275766007362,True,1.0038308044685025,1.6467350473844244,train
md3018,P50,prompt_norm_mean,5,0.15896205902099608,0.04635429382324219,0.17595882415771485,3.4292844504053845,3.7959552317824894,False,1.0038308044685025,1.6467350473844244,train
md3018,P50,prompt_pairwise_cos_mean,5,0.07014434337615967,0.042347919940948484,0.13081098794937135,1.6563822608599237,3.0889589885097095,False,1.0038308044685025,1.6467350473844244,train
md3019,P50,max_score,8,0.11105165258049965,0.12137262523174286,0.3445161543786526,0.9149645759704725,2.838499651119946,True,1.1816153218023886,3.9706368538920427,train
md3019,P50,apce,8,52.152878284454346,48.93177795410156,136.30058574676514,1.0658283934291768,2.7855228533615413,False,1.1816153218023886,3.9706368538920427,train
md3019,P50,score_entropy,8,0.05450498312711716,0.0740068256855011,0.21491436660289764,0.7364858933148231,2.9039803370744783,True,1.1816153218023886,3.9706368538920427,train
md3019,P50,prompt_topk_score_mean,8,0.029744451865553856,0.0254047941416502,0.029989631846547127,1.1708204246228522,1.180471358207142,False,1.1816153218023886,3.9706368538920427,train
md3019,P50,prompt_top1_top8_gap,8,0.1577465422451496,0.1371072754263878,0.4547545351088047,1.1505337098518336,3.3167790235146444,False,1.1816153218023886,3.9706368538920427,train
md3019,P50,prompt_norm_mean,8,0.0979771614074707,0.04746651649475098,0.3155897855758667,2.064132121771381,6.64868224749792,False,1.1816153218023886,3.9706368538920427,train
md3019,P50,prompt_pairwise_cos_mean,8,0.03435160219669342,0.02939697355031967,0.23871878534555435,1.1685421336561814,8.120522506468626,False,1.1816153218023886,3.9706368538920427,train
md3020,P50,max_score,59,0.16529827097714958,0.10914122856269448,0.43794367714958676,1.5145355531771572,4.012632832825445,False,2.047079087244558,8.997364661906268,train
md3020,P50,apce,59,51.220891015004305,17.869492870266154,149.0350170135498,2.8663875011377726,8.34019286924071,False,2.047079087244558,8.997364661906268,train
md3020,P50,score_entropy,59,0.06961627834934299,0.14462184931262065,0.386614427728168,0.4813676403651578,2.6732781357938022,True,2.047079087244558,8.997364661906268,train
md3020,P50,prompt_topk_score_mean,59,0.010757452855675908,0.019593934133901435,0.05531343893479493,0.5490195476626788,2.822987897885632,True,2.047079087244558,8.997364661906268,train
md3020,P50,prompt_top1_top8_gap,59,0.177262231960135,0.11847854670831713,0.5137844689948073,1.4961546784924828,4.336519000822648,False,2.047079087244558,8.997364661906268,train
md3020,P50,prompt_norm_mean,59,0.09428321709067135,0.022783247091002382,0.32286110570875265,4.1382695236522125,14.170987322614202,False,2.047079087244558,8.997364661906268,train
md3020,P50,prompt_pairwise_cos_mean,59,0.028529470249757927,0.008687893212851832,0.23131476216397043,3.283819166224444,26.624954574161436,False,2.047079087244558,8.997364661906268,train
md3026,P50,max_score,172,0.1393101955222529,0.10167464440645174,0.5567488494155886,1.3701567026286334,5.475788508140426,False,1.7177295904303673,7.034857671763774,train
md3026,P50,apce,172,31.698213266771894,13.697205166484034,104.6271509680637,2.3142102992172866,7.638576607151241,False,1.7177295904303673,7.034857671763774,train
md3026,P50,score_entropy,172,0.06386705544279066,0.12629647713241188,0.4268328007310629,0.5056915037727093,3.379609712155176,True,1.7177295904303673,7.034857671763774,train
md3026,P50,prompt_topk_score_mean,172,0.0072471542760383255,0.010684868234188058,0.05009603571839804,0.6782633268393106,4.6885029010857355,True,1.7177295904303673,7.034857671763774,train
md3026,P50,prompt_top1_top8_gap,172,0.1430627681141676,0.10897312642529954,0.5883147056203683,1.3128261325137212,5.3987136545839665,False,1.7177295904303673,7.034857671763774,train
md3026,P50,prompt_norm_mean,172,0.0931979168293088,0.025964736938476562,0.30587954853856286,3.5894034685023706,11.780575680453216,False,1.7177295904303673,7.034857671763774,train
md3026,P50,prompt_pairwise_cos_mean,172,0.03417484600876653,0.015164855261181677,0.16502754355585852,2.2535556995385395,10.882236638776662,False,1.7177295904303673,7.034857671763774,train
md3030,P50,max_score,152,0.11572413528828245,0.33309630314378363,0.09231137582346012,0.34741945255988566,0.277131192847061,True,0.5251659801924057,0.31777446446605856,train
md3030,P50,apce,152,51.589938270418266,127.79322270970596,16.949774999367563,0.40369854657792886,0.1326343810725425,True,0.5251659801924057,0.31777446446605856,train
md3030,P50,score_entropy,152,0.1505703157500217,0.26192939850060565,0.015779664053728704,0.5748507674639611,0.060243959418064236,True,0.5251659801924057,0.31777446446605856,train
md3030,P50,prompt_topk_score_mean,152,0.016570296432626874,0.03805008560026947,0.029848058462927218,0.4354864429549151,0.7844412960251368,True,0.5251659801924057,0.31777446446605856,train
md3030,P50,prompt_top1_top8_gap,152,0.160156059520025,0.4146399846006381,0.08704940788447857,0.3862532931402976,0.2099397335452599,True,0.5251659801924057,0.31777446446605856,train
md3030,P50,prompt_norm_mean,152,0.06420616727126272,0.11467247887661583,0.04269817000941226,0.5599091246626553,0.37234888813192807,True,0.5251659801924057,0.31777446446605856,train
md3030,P50,prompt_pairwise_cos_mean,152,0.08134265165579946,0.08398444676085522,0.032559241511319816,0.9685442339871954,0.3876818002224175,True,0.5251659801924057,0.31777446446605856,train
md3031,P50,max_score,232,0.15038875862956047,0.14784669298036346,0.441000928732984,1.0171939297182484,2.9828257896074386,False,1.4456044541445983,6.826512455516389,train
md3031,P50,apce,232,41.00046519575448,38.90869334648396,97.8620925895099,1.053761040769016,2.5151729388093376,False,1.4456044541445983,6.826512455516389,train
md3031,P50,score_entropy,232,0.07042412132281682,0.17698396347334672,0.3046389987114175,0.39791244325378994,1.7212802376616114,True,1.4456044541445983,6.826512455516389,train
md3031,P50,prompt_topk_score_mean,232,0.01105607044080208,0.01915226574858715,0.02905210012024076,0.5772721925101947,1.5169014726556316,True,1.4456044541445983,6.826512455516389,train
md3031,P50,prompt_top1_top8_gap,232,0.16721416939178418,0.1641977866790418,0.4752344536306015,1.018370422480908,2.8942805091316504,False,1.4456044541445983,6.826512455516389,train
md3031,P50,prompt_norm_mean,232,0.08244631619289003,0.033004916947463464,0.28113634010841104,2.498001019715588,8.518013862825347,False,1.4456044541445983,6.826512455516389,train
md3031,P50,prompt_pairwise_cos_mean,232,0.026385882162842256,0.007418599493544677,0.20502866791753932,3.556720130564443,27.637112377923714,False,1.4456044541445983,6.826512455516389,train
md3032,P50,max_score,117,0.11077931523323059,0.14267296057481033,0.45394704541844183,0.776456273046687,3.1817314478256287,True,0.8029696035116579,3.0583628837987407,train
md3032,P50,apce,117,32.40275322677743,33.7920531248435,129.8791623441582,0.958886786401101,3.843482426602508,True,0.8029696035116579,3.0583628837987407,train
md3032,P50,score_entropy,117,0.032368065709741704,0.15533330883735266,0.2870205831833375,0.20837813828729726,1.847772286123287,True,0.8029696035116579,3.0583628837987407,train
md3032,P50,prompt_topk_score_mean,117,0.00841797875542926,0.02417599046841646,0.0354372448900826,0.3481958170887899,1.4658032288237395,True,0.8029696035116579,3.0583628837987407,train
md3032,P50,prompt_top1_top8_gap,117,0.12365189067318909,0.1613528583294306,0.4920343353261805,0.7663445937844211,3.0494305487824414,True,0.8029696035116579,3.0583628837987407,train
md3032,P50,prompt_norm_mean,117,0.05045886732574202,0.06733526735224275,0.1775308103642912,0.749367594562792,2.6365204645725906,True,0.8029696035116579,3.0583628837987407,train
md3032,P50,prompt_pairwise_cos_mean,117,0.03641459473177918,0.020083519638094127,0.10812564869212289,1.8131580214105176,5.383799783860989,False,0.8029696035116579,3.0583628837987407,train
md3036,P50,max_score,6,0.21677172183990479,0.09664364655812581,0.39640240371227264,2.2430002339293518,4.101691294003034,False,1.9243199930009942,2.6756156518806553,train
md3036,P50,apce,6,70.50964609781902,12.7044677734375,62.96939214070638,5.549988189606418,4.956476199054778,False,1.9243199930009942,2.6756156518806553,train
md3036,P50,score_entropy,6,0.07419922947883606,0.14562093963225684,0.25666049122810364,0.5095368129453443,1.7625246195670587,True,1.9243199930009942,2.6756156518806553,train
md3036,P50,prompt_topk_score_mean,6,0.01683717469374339,0.020113085707028706,0.03533840676148733,0.8371253888219825,1.7569858386960986,True,1.9243199930009942,2.6756156518806553,train
md3036,P50,prompt_top1_top8_gap,6,0.23325550059477487,0.10540302594502766,0.4171050786972046,2.2129867572702793,3.9572400787695226,False,1.9243199930009942,2.6756156518806553,train
md3036,P50,prompt_norm_mean,6,0.09328126907348633,0.06475369135538737,0.0561528205871582,1.4405552350690036,0.8671755912432507,False,1.9243199930009942,2.6756156518806553,train
md3036,P50,prompt_pairwise_cos_mean,6,0.02952687939008077,0.04361124833424886,0.05788154403368632,0.6770473333645811,1.327215941830848,True,1.9243199930009942,2.6756156518806553,train
md3038,P50,max_score,351,0.0909548943963146,0.219093365589438,0.35038425414650526,0.41514216622305694,1.5992462994132637,True,0.44162069488886163,1.2430556258428012,train
md3038,P50,apce,351,25.50798505255979,62.771316908703234,95.6950214744633,0.4063637073228697,1.5245023712604902,True,0.44162069488886163,1.2430556258428012,train
md3038,P50,score_entropy,351,0.043634601043500115,0.23651835320257394,0.22641993350113218,0.18448716749665228,0.9573038643062514,True,0.44162069488886163,1.2430556258428012,train
md3038,P50,prompt_topk_score_mean,351,0.007894577973248952,0.036218300504222554,0.019229396604574643,0.21797207111113845,0.5309303953066995,True,0.44162069488886163,1.2430556258428012,train
md3038,P50,prompt_top1_top8_gap,351,0.11032796381545543,0.254677655944797,0.39138290617201066,0.43320629525087395,1.5367775579625589,True,0.44162069488886163,1.2430556258428012,train
md3038,P50,prompt_norm_mean,351,0.053028872889331266,0.11205084167654358,0.11746290266683639,0.47325724729436747,1.0483000476236266,True,0.44162069488886163,1.2430556258428012,train
