candidate,coverage,d_source,synthetic_closer_count_of_7,large_shift_count_of_7,mean_abs_smd_vs_clean,selected_train_only,mean_abs_smd_ratio_to_p100
P25,0.25,0.7056538902636483,6,2,0.4518725371870119,False,0.20481484720931128
P50,0.5,0.6020210216048311,7,5,1.0978971642794453,True,0.49763068442543534
P75,0.75,1.0285451937753902,5,5,1.805788925592472,False,0.818488295814316
P100,1.0,1.6471799596123187,1,6,2.206248928453996,False,1.0
