epoch,train_total_loss,train_giou_loss,train_l1_loss,train_focal_loss,train_iou,val_total_loss,val_giou_loss,val_l1_loss,val_focal_loss,val_iou,lr_group0,lr_group1
1,1.0754025524291717,0.2570411833524702,0.024233806712345925,0.4369571299310777,0.7647817377514305,0.9352829719025391,0.2277806143603434,0.018952301168837553,0.3834385413879034,0.7850539836760295,8.000000000000001e-06,2.4000000000000003e-06
2,0.9729200948609253,0.23701501144303222,0.02114470430173807,0.3895324739230175,0.7802962710658715,0.9502007821558203,0.23130256330690707,0.019738868987868394,0.38718951189701256,0.7823161497154337,8.000000000000001e-06,2.4000000000000003e-06
3,0.9385021346575686,0.22584812476899901,0.019505911355217287,0.38560012044281633,0.7892143232954859,1.0081612152477422,0.24088397096185118,0.022167319840288413,0.4139680983448889,0.7779283380391553,8.000000000000001e-06,2.4000000000000003e-06
4,0.8929219547741946,0.21620675979720222,0.018085267310341192,0.36627481878176266,0.7966124176051882,0.9138621586423078,0.22104549758574535,0.01884931305659116,0.37541228012761196,0.7936283506439754,8.000000000000001e-06,2.4000000000000003e-06
5,0.869834184421433,0.2104169141054153,0.017642752471897324,0.3568543280382746,0.8021032133301098,0.9886141038514712,0.23991495216806488,0.02171817625608833,0.39831153190746216,0.7792249068538131,8.000000000000001e-06,2.4000000000000003e-06
6,0.8851270749866972,0.21246831719080614,0.01830513942117493,0.3647869336102157,0.801496556414498,0.9725819691723468,0.23502232561986922,0.022013086779126077,0.39035529039265593,0.7855063113724269,8.000000000000001e-06,2.4000000000000003e-06
7,0.8458852550850975,0.20308187631766006,0.017083562063674135,0.35016681013225315,0.8090605000654857,0.929984323056199,0.22443875994486812,0.018974180585653283,0.3838395460146859,0.7903977491213892,8.000000000000001e-06,2.4000000000000003e-06
8,0.8529491528405087,0.20504026268588163,0.017125412547339985,0.35312446403751785,0.8067768945826429,1.0076057185915275,0.24283347814053352,0.022183184458835978,0.40842839645690004,0.7769025373745725,8.000000000000001e-06,2.4000000000000003e-06
9,0.8381204283403018,0.2005611747370821,0.01690779900881979,0.3484002605203742,0.8118621306154461,0.9032755502617505,0.22182475091514314,0.01937008689617515,0.36043633566090216,0.7941073899069359,8.000000000000001e-06,2.4000000000000003e-06
10,0.823188526037666,0.19720730605390338,0.015920484040760335,0.34496721857175633,0.8129820835060545,0.9630077994177899,0.23169885695299364,0.020070549678356264,0.39643842081328484,0.7855121191597665,8.000000000000001e-06,2.4000000000000003e-06
