view,e0_auc,b1_auc,delta_auc
A,62.735954961820774,61.839809244853036,-0.8961457169677374
B,61.312750270709294,56.8098089733722,-4.502941297337095
C,70.60822241431715,63.91016724088021,-6.698055173436941
