epoch,loader,atp_threshold_mean,atp_threshold_std,bbox_area_keep_ratio_pearson,bbox_area_mean,bbox_area_std,compensation_activation_ratio_mean,compensation_activation_ratio_std,keep_ratio_mean,keep_ratio_std,kept_search_tokens_mean,kept_search_tokens_std,pruned_search_tokens_mean,pruned_search_tokens_std,samples,view_A_keep_ratio_mean,view_A_threshold_mean,view_B_keep_ratio_mean,view_B_threshold_mean,view_C_keep_ratio_mean,view_C_threshold_mean
1,train,0.4635039219343,0.019490363245552336,-0.07379885581520397,0.06560035254185398,0.023899370405407964,0.3976799045138889,0.16007494956479035,0.6023200954861111,0.16007494956479035,154.19394444444444,40.97918708858633,101.80605555555556,40.97918708858633,18000,0.6056861979166667,0.46506231583158175,0.6126647135416666,0.4630519965688388,0.588609375,0.4623974534024795
1,val,0.4641941487191514,0.017590568526608577,-0.10581805471922426,0.06625606210150303,0.02411384818839432,0.4634720365418895,0.14759679285252889,0.5365279634581105,0.14759679285252889,137.35115864527629,37.784778970247395,118.64884135472371,37.784778970247395,4488,0.5454075451203209,0.46533335803106507,0.5245420078542781,0.463622170674769,0.5396343373997327,0.4636269174516201
2,train,0.46463038265042833,0.018443057213027945,-0.07231433013948607,0.06596138103828869,0.023992446287167703,0.37692144097222224,0.15495159532512173,0.6230785590277778,0.15495159532512173,159.5081111111111,39.66760840323116,96.4918888888889,39.66760840323116,18000,0.6234791666666667,0.46621004940072697,0.633966796875,0.46388582182427246,0.6117897135416667,0.4637952767262856
2,val,0.46465331278807764,0.018550132209775045,-0.11953748201771679,0.06603035386261628,0.02359959704182038,0.45121017156862747,0.1541781007628125,0.5487898284313726,0.1541781007628125,140.49019607843138,39.46959379528,115.50980392156863,39.46959379528,4488,0.5568077372994652,0.46531432171795456,0.5355426971925134,0.46376957282184916,0.5540190508021391,0.4648760438244292
3,train,0.4653098924640152,0.01807574500370138,-0.0680629729529575,0.06570455266783636,0.023919163217174463,0.37607486979166665,0.15387377187537035,0.6239251302083333,0.15387377187537035,159.72483333333332,39.39168560009481,96.27516666666666,39.39168560009481,18000,0.626888671875,0.4670926965624094,0.63111328125,0.46457897311945756,0.6137734375,0.46425800771017867
3,val,0.4651017988070766,0.017160150656209013,-0.10510324009952218,0.06631311647794849,0.02421900779740752,0.45457504734848486,0.14984384343391954,0.5454249526515151,0.14984384343391954,139.62878787878788,38.3600239190834,116.37121212121212,38.3600239190834,4488,0.5508334725935828,0.4660573274215912,0.5364435369318182,0.46444411051863016,0.5489978484291443,0.46480395848100836
4,train,0.4649680611441533,0.01764040170843061,-0.09440711538778797,0.06586311269727432,0.023810360937003408,0.3665078125,0.1503756560236173,0.6334921875,0.1503756560236173,162.174,38.49616794204603,93.826,38.49616794204603,18000,0.6345625,0.46676973401506744,0.641876953125,0.46455077741046746,0.624037109375,0.46358367200692496
4,val,0.4649510931442766,0.01660470621171508,-0.08789448259644651,0.06602414286738584,0.0240654095394539,0.4390771223262032,0.1499841684781552,0.5609228776737968,0.1499841684781552,143.59625668449198,38.395947130407734,112.40374331550802,38.395947130407734,4488,0.5686518215240641,0.4662991917547695,0.5519327581885026,0.4643272817294228,0.5621840533088235,0.4642268059486374
5,train,0.46517805017530917,0.017638758860086697,-0.08668224676749917,0.06564426837080262,0.023889910426715667,0.3671937934027778,0.15177320644788864,0.6328062065972222,0.15177320644788864,161.99838888888888,38.85394085065949,94.00161111111112,38.85394085065949,18000,0.6327760416666667,0.4669678064833085,0.6440442708333334,0.46475762768089773,0.6215983072916667,0.46380871636172133
5,val,0.4648001522768734,0.01667708943187967,-0.1013269531894086,0.06617201289739759,0.02442750595101256,0.445089683600713,0.14969814840481258,0.554910316399287,0.14969814840481258,142.05704099821747,38.32272599163202,113.94295900178253,38.32272599163202,4488,0.5595233121657754,0.46520305004588425,0.5453579336564172,0.46397777182612826,0.5598497033756684,0.46521963495860763
