branch,cap_status,actual_relative_norm_cap,cap_hit_rule,branch_frame_count,frame_ratio,frame_count,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_delta_iou,mean_absolute_delta_iou,mean_relative_residual_norm
sender0_only,non_cap_hit,0.25,relative_residual_norm >= cap - 1e-6,13498,0.8649429545117795,11675,722,1807,9146,0.06184154175588865,0.15477516059957175,0.7833832976445396,-0.006839684946279591,0.018355885321944196,0.1719288090050093
sender0_only,cap_hit,0.25,relative_residual_norm >= cap - 1e-6,13498,0.13505704548822048,1823,176,303,1344,0.09654415798134942,0.1662095447065277,0.7372462973121229,-0.01659323042128092,0.03106931663433255,0.2500000024848892
sender1_only,non_cap_hit,0.25,relative_residual_norm >= cap - 1e-6,13498,0.8750926063120462,11812,871,1288,9653,0.07373857094480189,0.10904165255672198,0.8172197764984761,-0.0044117468829369105,0.017505342994808663,0.15970169614068216
sender1_only,cap_hit,0.25,relative_residual_norm >= cap - 1e-6,13498,0.12490739368795377,1686,155,316,1215,0.09193357058125741,0.1874258600237248,0.7206405693950177,-0.010587686490503533,0.025902502987230052,0.25000000214767626
single_sender,non_cap_hit,0.25,relative_residual_norm >= cap - 1e-6,26996,0.8700177804119129,23487,1593,3095,18799,0.06782475411930004,0.13177502448162814,0.8004002213990719,-0.005618634816241539,0.01792813354572225,0.16577959211253976
single_sender,cap_hit,0.25,relative_residual_norm >= cap - 1e-6,26996,0.12998221958808712,3509,331,619,2559,0.09432886862353947,0.17640353377030493,0.7292675976061556,-0.013707694066966106,0.02858677237414024,0.2500000023228655
both,non_cap_hit,0.25,relative_residual_norm >= cap - 1e-6,13498,0.9499185064453993,12822,727,1455,10640,0.05669942286694744,0.11347683668694432,0.8298237404461083,-0.005534812186592458,0.016916764215705954,0.15067756241598565
both,cap_hit,0.25,relative_residual_norm >= cap - 1e-6,13498,0.05008149355460068,676,62,114,500,0.09171597633136094,0.16863905325443787,0.7396449704142012,-0.024385467802073617,0.04093571340215918,0.25000000235861575
