receiver_sender,receiver_view,sender_view,sender_slot,valid_rows,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_delta_iou,local_auc,sender_auc,auc_delta
A<-B,A,B,0,4236,262,412,3562,0.06185080264400378,0.09726156751652502,0.8408876298394712,-0.0030989609852148533,0.6273595496182077,0.6228834409027407,-0.004476108715466998
A<-C,A,C,1,4236,292,496,3448,0.06893295561850803,0.11709159584513693,0.8139754485363551,-0.0024010964427676573,0.6273595496182077,0.6246652782123743,-0.0026942714058334483
B<-A,B,A,0,4663,260,1088,3315,0.05575809564657946,0.2333261848595325,0.7109157194938881,-0.017333302565120928,0.6131275027070929,0.5915049260421708,-0.021622576664922177
B<-C,B,C,1,4663,297,785,3581,0.06369290156551577,0.1683465580098649,0.7679605404246194,-0.012455242383446544,0.6131275027070929,0.6009351513641518,-0.012192351342941166
C<-A,C,A,0,4614,376,610,3628,0.08149111400086692,0.13220632856523623,0.7863025574338969,-0.0035003017362982957,0.7060822241431716,0.700175817228532,-0.005906406914639617
C<-B,C,B,1,4614,437,323,3854,0.09471174685739055,0.07000433463372345,0.835283918508886,-0.00037116468111502175,0.7060822241431716,0.7024767793009943,-0.0036054448421772856
