sender0_label,sender1_label,frame_count,frame_ratio,both_helpful_count,both_harmful_count,both_tie_count,both_helpful_ratio,both_harmful_ratio,both_tie_ratio
helpful,helpful,398,0.029453119218530305,394,0,4,0.9899497487437185,0.0,0.010050251256281407
helpful,harmful,52,0.0038481462295567232,11,11,30,0.21153846153846154,0.21153846153846154,0.5769230769230769
helpful,tie,448,0.03315325982387331,161,3,284,0.359375,0.006696428571428571,0.6339285714285714
harmful,helpful,64,0.004736179974839044,12,14,38,0.1875,0.21875,0.59375
harmful,harmful,981,0.07259675867682971,1,966,14,0.0010193679918450561,0.9847094801223242,0.014271151885830785
harmful,tie,1065,0.07881299489380597,3,304,758,0.0028169014084507044,0.28544600938967135,0.711737089201878
tie,helpful,564,0.041737586028269075,174,1,389,0.30851063829787234,0.0017730496453900709,0.6897163120567376
tie,harmful,571,0.04225560571301709,5,253,313,0.008756567425569177,0.44308231173380036,0.5481611208406305
tie,tie,9370,0.6934063494412788,28,17,9325,0.0029882604055496264,0.0018143009605122733,0.9951974386339381
