category,metric,e3_value,e3_d1_value,d1_minus_e3,unit
tracking_auc,local,0.6488564254894907,0.6488564254894907,0.0,auc_fraction
tracking_auc,sender0_only,0.6473232514980266,0.6381880613911478,-0.009135190106878799,auc_fraction
tracking_auc,sender1_only,0.649073305839575,0.6426924029591734,-0.006380902880401607,auc_fraction
tracking_auc,both,0.6487048168605032,0.640251419712912,-0.00845339714759119,auc_fraction
tracking_auc,oracle_single,0.6631733954105211,0.6619239157678732,-0.0012494796426478771,auc_fraction
tracking_auc,oracle_4,0.6637038722138248,0.6624952302615353,-0.0012086419522894243,auc_fraction
tracking_auc,oracle_single_headroom_vs_local,0.014316969921030376,0.013067490278382499,-0.0012494796426478771,auc_fraction
sender_utility,remote_help_available_ratio,0.12232664841263968,0.11292829127506845,-0.009398357137571228,fraction
sender_utility,helpful_ratio,0.07230074742840228,0.07119070524679938,-0.001110042181602905,fraction
sender_utility,harmful_ratio,0.08173610597202693,0.13742322208243912,0.05568711611041219,fraction
sender_utility,tie_ratio,0.8459631465995708,0.7913860726707614,-0.054577073928809394,fraction
sender_utility,mean_delta_iou,-0.0011887535393091304,-0.0066626646344279256,-0.005473911095118795,fraction
residual,sender0_only_mean_relative_residual_norm,0.11516822763101969,0.1824728737341411,0.0673046461031214,fraction
residual,sender1_only_mean_relative_residual_norm,0.11530074636992975,0.1709806221984531,0.055679875828523365,fraction
residual,both_mean_relative_residual_norm,0.10834680583092314,0.1556517785517997,0.04730497272087657,fraction
