branch,quantile,q25_cut,q50_cut,q75_cut,frame_count,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_delta_iou,mean_absolute_delta_iou,mean_relative_residual_norm
sender0_only,Q1,0.14837006852030754,0.17771510034799576,0.21322044357657433,3375,175,324,2876,0.05185185185185185,0.096,0.8521481481481481,-0.0023694201586773422,0.012931787717992249,0.13242827672649313
sender0_only,Q2,0.14837006852030754,0.17771510034799576,0.21322044357657433,3374,208,458,2708,0.06164789567279194,0.13574392412566685,0.8026081802015412,-0.005803654611209048,0.017362831986114532,0.16288490800565703
sender0_only,Q3,0.14837006852030754,0.17771510034799576,0.21322044357657433,3374,208,640,2526,0.06164789567279194,0.1896858328393598,0.7486662714878483,-0.009322470856161915,0.02134850547485326,0.19418020254507812
sender0_only,Q4,0.14837006852030754,0.17771510034799576,0.21322044357657433,3375,307,688,2380,0.09096296296296297,0.20385185185185184,0.7051851851851851,-0.01513198235358924,0.0286481449530541,0.24039577265580495
sender1_only,Q1,0.1367633044719696,0.1604916900396347,0.19734182208776474,3375,207,201,2967,0.06133333333333333,0.059555555555555556,0.8791111111111111,-0.0015644123997388094,0.013398899935468531,0.1251953357855479
sender1_only,Q2,0.1367633044719696,0.1604916900396347,0.19734182208776474,3374,223,379,2772,0.06609365737996444,0.11232957913455839,0.8215767634854771,-0.0063096623654544754,0.018365094470106865,0.14793352774335
sender1_only,Q3,0.1367633044719696,0.1604916900396347,0.19734182208776474,3374,252,390,2732,0.07468879668049792,0.11558980438648489,0.8097213989330172,-0.0038326663556340094,0.017181733818289156,0.17606629168467897
sender1_only,Q4,0.1367633044719696,0.1604916900396347,0.19734182208776474,3375,344,634,2397,0.10192592592592592,0.18785185185185185,0.7102222222222222,-0.009025862118568505,0.025270650537450475,0.23472201167654108
both,Q1,0.12890196219086647,0.14580316096544266,0.17182184383273125,3375,129,192,3054,0.03822222222222222,0.05688888888888889,0.9048888888888889,-0.0013118055070065833,0.011526126591780856,0.11906561567827507
both,Q2,0.12890196219086647,0.14580316096544266,0.17182184383273125,3374,178,334,2862,0.05275637225844695,0.0989922940130409,0.8482513337285121,-0.004540307311786981,0.014319087290285408,0.13704435026938913
both,Q3,0.12890196219086647,0.14580316096544266,0.17182184383273125,3374,200,461,2713,0.05927682276229994,0.13663307646710135,0.8040901007705987,-0.007645707026818938,0.01881132383915424,0.15746121852706718
both,Q4,0.12890196219086647,0.14580316096544266,0.17182184383273125,3375,282,582,2511,0.08355555555555555,0.17244444444444446,0.744,-0.012417476185507157,0.027821217373526393,0.20903095255074677
