group_type,group,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,gt_oracle,remote_help_available_ratio
overall,all,both,15,0.640251419712912,0.834440086415926,0.8242133579182422,0.6824588418405486,-0.008605005776578745,False,0.11292829127506845
overall,all,local,15,0.6488564254894907,0.8407117042170016,0.8289254123115484,0.6914925965433164,0.0,False,0.11292829127506845
overall,all,oracle_4,15,0.6624952302615353,0.8458662527641917,0.8437689135444498,0.7066612812113516,0.0136388047720446,True,0.11292829127506845
overall,all,oracle_single,15,0.6619239157678732,0.8458662527641917,0.8433080636761104,0.7059971243277835,0.013067490278382499,True,0.11292829127506845
overall,all,sender0_only,15,0.6381880613911478,0.8340698618088058,0.8207845889653469,0.6800415138129179,-0.01066836409834293,False,0.11292829127506845
overall,all,sender1_only,15,0.6426924029591734,0.8360929969167376,0.8262082299637208,0.6848382701995147,-0.006164022530317337,False,0.11292829127506845
