checkpoint_family,group_type,group,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,gt_oracle
E3,receiver_view,A,both,5,0.6262515268522241,0.8132678544068298,0.8587401331223141,0.7099631574517905,-0.0011080227659836517,False
E3,receiver_view,A,local,5,0.6273595496182077,0.8138822422167505,0.8576098389022105,0.7109411579494871,0.0,False
E3,receiver_view,A,oracle_4,5,0.6377937181076501,0.8175268935915531,0.8624034493666587,0.7237231217144912,0.010434168489442341,True
E3,receiver_view,A,oracle_single,5,0.6374155347900025,0.8175268935915531,0.8624034493666587,0.7232544844339344,0.010055985171794735,True
E3,receiver_view,A,sender0_only,5,0.6261062552794598,0.8149498509230199,0.8577363316382319,0.7096622693813297,-0.001253294338747879,False
E3,receiver_view,A,sender1_only,5,0.6266785101228727,0.8128904959162637,0.8585949755167507,0.7102398516353162,-0.0006810394953350452,False
E3,receiver_view,B,both,5,0.6131056601431716,0.8091384744845908,0.7411370876620917,0.626170655326982,-2.18425639213482e-05,False
E3,receiver_view,B,local,5,0.6131275027070929,0.8035425638915289,0.7383747176925123,0.6267259757024823,0.0,False
E3,receiver_view,B,oracle_4,5,0.631157458225257,0.812470234134256,0.7588576280011355,0.6454323611935336,0.01802995551816411,True
E3,receiver_view,B,oracle_single,5,0.63076465465506,0.812470234134256,0.7590149644895012,0.6449743106788001,0.01763715194796711,True
E3,receiver_view,B,sender0_only,5,0.611106510841573,0.8073920112029718,0.7441619369283037,0.6238391812024597,-0.002020991865519961,False
E3,receiver_view,B,sender1_only,5,0.6126199767634217,0.8086530202055278,0.7359463009302039,0.6260128949591927,-0.0005075259436712054,False
E3,receiver_view,C,both,5,0.706757263586114,0.9058423820144237,0.8889493001526088,0.7376673266923897,0.0006750394429424489,False
E3,receiver_view,C,local,5,0.7060822241431716,0.9047103065427254,0.8907916803399221,0.7368106559779799,0.0,False
E3,receiver_view,C,oracle_4,5,0.7221604403085673,0.9069744574861218,0.9020089408279478,0.7544557574388469,0.01607821616539573,True
E3,receiver_view,C,oracle_single,5,0.7213399967865004,0.9065970989955557,0.9015688968235473,0.7537041627888452,0.015257772643328837,True
E3,receiver_view,C,sender0_only,5,0.7047569883730469,0.9054650235238576,0.8894229671700936,0.7354621888499325,-0.0013252357701246664,False
E3,receiver_view,C,sender1_only,5,0.7079214306324308,0.9054650235238576,0.8894548089315837,0.7391029815030566,0.0018392064892592819,False
E3-D1,receiver_view,A,both,5,0.6237866304401922,0.814022571387962,0.8571257742535175,0.7075143291326598,-0.003572919178015499,False
E3-D1,receiver_view,A,local,5,0.6273595496182077,0.8138822422167505,0.8576098389022105,0.7109411579494871,0.0,False
E3-D1,receiver_view,A,oracle_4,5,0.6389317445377742,0.8192411234904575,0.8652819881199756,0.7248023902826305,0.011572194919566514,True
E3-D1,receiver_view,A,oracle_single,5,0.6384323143938205,0.8192411234904575,0.8652819881199756,0.7240874220203299,0.011072764775612809,True
E3-D1,receiver_view,A,sender0_only,5,0.6228834409027407,0.8160496930120035,0.8537887945482756,0.7064808616523567,-0.004476108715466998,False
E3-D1,receiver_view,A,sender1_only,5,0.6246652782123743,0.8125776041911266,0.8578992798033986,0.707864722239324,-0.0026942714058334483,False
E3-D1,receiver_view,B,both,5,0.5946258749564507,0.7868515322604873,0.7257781726839604,0.6070998215935272,-0.018501627750642236,False
E3-D1,receiver_view,B,local,5,0.6131275027070929,0.8035425638915289,0.7383747176925123,0.6267259757024823,0.0,False
E3-D1,receiver_view,B,oracle_4,5,0.6272483744907078,0.8113831773159961,0.7639868934074866,0.6417229751549322,0.014120871783614874,True
E3-D1,receiver_view,B,oracle_single,5,0.6268318947157734,0.811760535806562,0.7629817022930344,0.6412523451237238,0.013704392008680455,True
E3-D1,receiver_view,B,sender0_only,5,0.5915049260421708,0.785977887758481,0.721830974059908,0.603432649780039,-0.021622576664922177,False
E3-D1,receiver_view,B,sender1_only,5,0.6009351513641518,0.7955193819031525,0.7311482773112691,0.6139045074934402,-0.012192351342941166,False
E3-D1,receiver_view,C,both,5,0.7023417537420927,0.9024461555993293,0.8897361268172481,0.7327623747954594,-0.0037404704010788326,False
E3-D1,receiver_view,C,local,5,0.7060822241431716,0.9047103065427254,0.8907916803399221,0.7368106559779799,0.0,False
E3-D1,receiver_view,C,oracle_4,5,0.7213055717561239,0.9069744574861218,0.9020378591058872,0.7534584781964917,0.015223347612952298,True
E3-D1,receiver_view,C,oracle_single,5,0.7205075381940261,0.9065970989955557,0.9016605006153211,0.7526516058392969,0.014425314050854565,True
E3-D1,receiver_view,C,sender0_only,5,0.700175817228532,0.9001820046559331,0.8867339982878569,0.7302110300063582,-0.005906406914639617,False
E3-D1,receiver_view,C,sender1_only,5,0.7024767793009943,0.9001820046559331,0.889577132776495,0.7327455808657802,-0.0036054448421772856,False
