sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5420225822287679,0.7731958762886598,0.8989690721649485,0.6326075410579002,970
md3027-1,md3027,A,0.8301056338028168,0.9823943661971831,1.0,0.8630128867653777,1136
md3034-1,md3034,A,0.48797736916548795,0.6457645764576457,0.9603960396039604,0.7688924773595244,909
md3048-1,md3048,A,0.47556154537286605,0.720754716981132,0.4226415094339623,0.4800771297326175,530
md3055-1,md3055,A,0.7160524261473356,0.9068162208800691,0.8662640207075065,0.7276944136303256,1159
md3016-2,md3016,B,0.6801178203240058,0.9577319587628866,0.979381443298969,0.719551817861101,970
md3027-2,md3027,B,0.8089788732394366,1.0,1.0,0.8248865206819691,1136
md3034-2,md3034,B,0.48750589344648754,1.0,0.5566556655665567,0.49097103734317943,909
md3048-2,md3048,B,0.575831087151842,0.4339622641509434,0.590566037735849,0.5800255774779737,530
md3055-2,md3055,B,0.47430050536176505,0.6134598792062123,0.5651423641069888,0.4810023713645438,1159
md3016-3,md3016,C,0.7041237113402062,1.0,0.9701030927835051,0.7153199979725958,970
md3027-3,md3027,C,0.7697434607645874,1.0,0.9991197183098591,0.7852301417908578,1136
md3034-3,md3034,C,0.7014510974907013,1.0,0.7931793179317932,0.7131331301388922,909
md3048-3,md3048,C,0.3727762803234501,0.38113207547169814,0.5169811320754717,0.4310278372519439,530
md3055-3,md3055,C,0.8118657298985168,0.9801553062985332,0.996548748921484,0.8446818381210761,1159
