sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5505645557191949,0.7731958762886598,0.9010309278350516,0.642651802067343,970
md3027-1,md3027,A,0.8322853789403085,0.9823943661971831,1.0,0.8647941631767566,1136
md3034-1,md3034,A,0.49028236156949023,0.6457645764576457,0.9581958195819582,0.7719700431407381,909
md3048-1,md3048,A,0.5398921832884097,0.7924528301886793,0.4641509433962264,0.5418792201087271,530
md3055-1,md3055,A,0.7030691482805373,0.8921484037963762,0.8515962036238136,0.7140050633230639,1159
md3016-2,md3016,B,0.6896416298478155,0.9577319587628866,0.9762886597938144,0.7304843313596892,970
md3027-2,md3027,B,0.8130868544600939,1.0,1.0,0.8300353370150847,1136
md3034-2,md3034,B,0.49677824925349673,1.0,0.5654565456545655,0.49918398142023324,909
md3048-2,md3048,B,0.5790655884995507,0.44150943396226416,0.6132075471698113,0.5839012442937079,530
md3055-2,md3055,B,0.6775545420929372,0.9249352890422778,0.8360655737704918,0.6856087733156139,1159
md3016-3,md3016,C,0.7138929798723613,1.0,0.9670103092783505,0.7246357432782132,970
md3027-3,md3027,C,0.7764922870556672,1.0,1.0,0.7921572263592671,1136
md3034-3,md3034,C,0.7061658546807061,1.0,0.7975797579757976,0.7181325187791875,909
md3048-3,md3048,C,0.32497753818508535,0.35660377358490564,0.4962264150943396,0.37786562573126153,530
md3055-3,md3055,C,0.8133859238259584,0.9801553062985332,0.998274374460742,0.8467976627804005,1159
