target_id,frame_count,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_local_iou,mean_collaborative_iou,mean_delta_iou
md3016,2743,106,515,2122,0.03864382063434196,0.1877506379876048,0.7736055413780533,0.7076519676900244,0.7013746082635166,-0.006277359426507727
md3027,3388,75,11,3302,0.022136953955135773,0.003246753246753247,0.974616292798111,0.8525049551239062,0.857010987861672,0.00450603273776575
md3034,2405,203,161,2041,0.08440748440748441,0.06694386694386695,0.8486486486486486,0.6443171263200494,0.6448717527017915,0.000554626381742077
md3048,1523,106,90,1327,0.0695994747209455,0.05909389363099146,0.871306631648063,0.5862477065794016,0.588501083394966,0.0022533768155642286
md3055,3454,280,160,3014,0.08106543138390272,0.04632310364794441,0.8726114649681529,0.6929855319086492,0.6948711183766766,0.0018855864680272577
