receiver_view,frame_count,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_local_iou,mean_collaborative_iou,mean_delta_iou
A,4236,213,409,3614,0.05028328611898017,0.0965533522190746,0.8531633616619453,0.7420553642668373,0.740963478061025,-0.0010918862058122722
B,4663,222,166,4275,0.047608835513617845,0.03559939952820073,0.9167917649581814,0.6413474731060816,0.6431323092704638,0.0017848361643821218
C,4614,335,362,3917,0.07260511486779367,0.07845687039445166,0.8489380147377547,0.7653741478843025,0.7665940798177022,0.0012199319333998212
