target_id,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,primary_policy,gt_oracle
md3016,local,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0,False,False
md3016,both,3,0.6371788577974146,0.90446735395189,0.9415807560137458,0.6835407858686166,-0.006120111274750428,False,False
md3016,sender0_only,3,0.6325642284405172,0.90446735395189,0.9415807560137458,0.678796822987702,-0.01073474063164781,False,False
md3016,sender1_only,3,0.6411225658648338,0.90446735395189,0.9415807560137458,0.6876204803149908,-0.0021764032073311457,False,False
md3016,policy_T0,3,0.6386025200458191,0.90446735395189,0.9419243986254296,0.6851188644762335,-0.004696449026345917,False,False
md3016,policy_T1,3,0.6373588610702013,0.90446735395189,0.9422680412371135,0.6836578187635253,-0.005940108001963651,False,False
md3016,policy_T2,3,0.6378661430207823,0.90446735395189,0.9415807560137458,0.6842025745453766,-0.005432826051382733,False,False
md3016,policy_T3,3,0.6379152348224514,0.90446735395189,0.9419243986254296,0.6843058534356432,-0.005383734249713612,False,False
md3016,policy_T4,3,0.63855342824415,0.90446735395189,0.9419243986254296,0.6848203884330671,-0.004745540828015038,True,False
md3016,oracle_single,3,0.6546064473899526,0.90446735395189,0.9453608247422681,0.70281270627096,0.011307478317787556,False,True
md3027,local,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.0,False,False
md3027,both,3,0.8112843729040913,0.994131455399061,1.0,0.8325864521943025,0.00381455399061037,False,False
md3027,sender0_only,3,0.8089649005141964,0.994131455399061,1.0,0.8295043322197522,0.001495081600715542,False,False
md3027,sender1_only,3,0.8134501453163425,0.994131455399061,1.0,0.8352138181607884,0.005980326402861613,False,False
md3027,policy_T0,3,0.8074837916387212,0.994131455399061,1.0,0.828615233839872,1.3972725240285477e-05,False,False
md3027,policy_T1,3,0.8076654370668456,0.994131455399061,1.0,0.8287989882627179,0.00019561815336466282,False,False
md3027,policy_T2,3,0.8080287279230941,0.994131455399061,1.0,0.8289652648723503,0.0005589090096131955,False,False
md3027,policy_T3,3,0.8080985915492956,0.994131455399061,1.0,0.8290734488125705,0.0006287726358147339,False,False
md3027,policy_T4,3,0.8079868097473731,0.994131455399061,1.0,0.8290249155623451,0.000516990833892228,True,False
md3027,oracle_single,3,0.8207299351665549,0.994131455399061,1.0,0.8424684619246596,0.013260116253073995,False,True
md3034,local,3,0.5698220615712365,0.881921525485882,0.7851118445177852,0.6681926865451091,0.0,False,False
md3034,both,3,0.5717603506382384,0.881921525485882,0.7895122845617896,0.6699006801355559,0.001938289067001886,False,False
md3034,sender0_only,3,0.5690013445789023,0.881921525485882,0.7917125045837917,0.66638589563643,-0.0008207169923342139,False,False
md3034,sender1_only,3,0.5734716328775734,0.881921525485882,0.7895122845617895,0.6724492117561232,0.0036495713063369184,False,False
md3034,policy_T0,3,0.5725461435032392,0.881921525485882,0.7898789878987899,0.6710111149120808,0.0027240819320026866,False,False
md3034,policy_T1,3,0.5705380061815705,0.881921525485882,0.7906123945727906,0.6690820258859325,0.0007159446103339739,False,False
md3034,policy_T2,3,0.5691934272792358,0.881921525485882,0.7909790979097909,0.6671724077790312,-0.0006286342920006627,False,False
md3034,policy_T3,3,0.569682365061903,0.881921525485882,0.792079207920792,0.6676582608502226,-0.00013969650933354227,False,False
md3034,policy_T4,3,0.5701014545899035,0.881921525485882,0.7928126145947928,0.6680447177910414,0.0002793930186669735,True,False
md3034,oracle_single,3,0.5881921525485883,0.881921525485882,0.8137147048038137,0.6901803624675292,0.01837009097735176,False,True
md3048,local,3,0.552231206948188,0.5855345911949685,0.6012578616352201,0.5821878643231728,0.0,False,False
md3048,both,3,0.5532494758909853,0.5874213836477987,0.60062893081761,0.5846412476443726,0.001018268942797329,False,False
md3048,sender0_only,3,0.5534291704103025,0.5924528301886793,0.5987421383647799,0.5845127873123571,0.0011979634621145374,False,False
md3048,sender1_only,3,0.5529499850254567,0.5849056603773585,0.5987421383647799,0.5839967668483871,0.0007187780772687224,False,False
md3048,policy_T0,3,0.5529499850254567,0.5918238993710693,0.5949685534591195,0.5839325709716648,0.0007187780772687224,False,False
md3048,policy_T1,3,0.5529499850254567,0.5918238993710693,0.5955974842767295,0.5837898542704069,0.0007187780772687224,False,False
md3048,policy_T2,3,0.5527103923330339,0.5918238993710693,0.5987421383647799,0.583234314405621,0.000479185384845926,False,False
md3048,policy_T3,3,0.553099730458221,0.5918238993710693,0.5974842767295597,0.5835541558758438,0.0008685235100330813,False,False
md3048,policy_T4,3,0.5524109014675053,0.5918238993710693,0.5987421383647799,0.582879922249183,0.0001796945193173194,True,False
md3048,oracle_single,3,0.5652590595986822,0.59937106918239,0.6144654088050315,0.5971726498474822,0.01302785265049422,False,True
md3055,local,3,0.6714600709423832,0.8375035950532067,0.8156456715559389,0.6880821904864347,0.0,False,False
md3055,both,3,0.671240943889779,0.8403796376186367,0.8190969226344551,0.6880576975275062,-0.00021912705260429544,False,False
md3055,sender0_only,3,0.6695701001136722,0.8415300546448088,0.819096922634455,0.6867321158938092,-0.0018899708287110073,False,False
md3055,sender1_only,3,0.6713094210937177,0.8389416163359217,0.814207650273224,0.6882135002534332,-0.00015064984866552944,False,False
md3055,policy_T0,3,0.6719531068107427,0.8398044291055508,0.817371297095197,0.6889082907667549,0.0004930358683594704,False,False
md3055,policy_T1,3,0.6723228837120123,0.8398044291055508,0.817946505608283,0.6892080623147613,0.0008628127696290733,False,False
md3055,policy_T2,3,0.6722544065080736,0.8395168248490078,0.8185217141213691,0.6889424315179541,0.0007943355656903073,False,False
md3055,policy_T3,3,0.6723091882712247,0.8398044291055508,0.8185217141213691,0.6889179845255478,0.0008491173288414089,False,False
md3055,policy_T4,3,0.671706588876563,0.8392292205924647,0.8167960885821111,0.6884183407920997,0.0002465179341797352,True,False
md3055,oracle_single,3,0.6815946971253272,0.8423928674144378,0.8208225481737129,0.6989698357768153,0.010134626182943918,False,True
