task,feature_set,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,selection_coverage_at_0_5,precision_at_0_5,recall_at_0_5,uses_gt_at_runtime,posthoc_diagnostic_only
A_helpful_vs_harmful,sender_only,5,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.42260147485452687,0.42390729398790233,0.3327264451524807,0.42954856361149113,0.32040816326530613,False,True
A_helpful_vs_harmful,receiver_plus_sender,10,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.37384963023829093,0.3816548892279418,0.4255803368229404,0.325668449197861,0.3107142857142857,False,True
A_helpful_vs_harmful,plus_post_fusion_disagreement,19,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.5625142538527326,0.5210250849385103,0.4799726900318616,0.5139876718824087,0.5530612244897959,False,True
B_replace_local,sender_only,5,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5447226300250089,0.08063757355010509,0.3992813750185213,0.08859820020410057,0.4872448979591837,False,True
B_replace_local,receiver_plus_sender,10,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.48472310077569936,0.07140253342189194,0.3313824270262261,0.07791191594008495,0.3556122448979592,False,True
B_replace_local,plus_post_fusion_disagreement,19,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.45465578546484897,0.11237332650780965,0.2581493554600682,0.07475964987803128,0.26581632653061227,False,True
