feature,source_column,reliability_direction,eligible_non_tie_rows,helpful_rows,harmful_rows,roc_auc_helpful_vs_harmful,pr_auc_helpful_vs_harmful,positive_class_prior,high_reliability_threshold_directed,high_reliability_rows,p_helpful_given_high,p_harmful_given_high
sender_score,sender_max_score,1.0,4394,1960,2434,0.5159139025371858,0.4748662155421593,0.44606281292671823,0.8114121854305267,6749,0.046080900874203586,0.038376055711957326
sender_apce,sender_apce,1.0,4394,1960,2434,0.5091175397850184,0.47416414793161327,0.44606281292671823,237.70840454101562,6750,0.045925925925925926,0.03777777777777778
sender_low_entropy,sender_entropy,-1.0,4394,1960,2434,0.5235958906981034,0.47689213761837407,0.44606281292671823,-0.38916876912117004,6749,0.05141502444806638,0.04074677730034079
receiver_score,local_max_score,1.0,4394,1960,2434,0.534819332416615,0.5418313321939903,0.44606281292671823,0.8114722967147827,6750,0.06118518518518518,0.03807407407407407
receiver_apce,local_apce,1.0,4394,1960,2434,0.5399878213405329,0.5543806297692184,0.44606281292671823,237.7067108154297,6750,0.06340740740740741,0.03585185185185185
receiver_low_entropy,local_entropy,-1.0,4394,1960,2434,0.5470273380510791,0.5555745569547283,0.44606281292671823,-0.3892030417919159,6750,0.06562962962962963,0.0437037037037037
sender_minus_receiver_score,sender_minus_receiver_score,1.0,4394,1960,2434,0.4867458034980632,0.45300168211724073,0.44606281292671823,0.1050853431224823,6749,0.08341976589124314,0.09482886353533856
sender_minus_receiver_apce,sender_minus_receiver_apce,1.0,4394,1960,2434,0.48219819562993643,0.45385624417379633,0.44606281292671823,33.2939338684082,6749,0.0875685286709142,0.1084605126685435
