target_id,variant,sequence_count,auc,precision,normalized_precision,mean_iou,remote_help_available_ratio,gt_oracle
md3016,local,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0925993437841779,False
md3016,sender0_only,3,0.6325642284405172,0.90446735395189,0.9415807560137458,0.678796822987702,0.0925993437841779,False
md3016,sender1_only,3,0.6411225658648338,0.90446735395189,0.9415807560137458,0.6876204803149908,0.0925993437841779,False
md3016,both,3,0.6371788577974146,0.90446735395189,0.9415807560137458,0.6835407858686166,0.0925993437841779,False
md3016,oracle_single,3,0.6546064473899526,0.90446735395189,0.9453608247422681,0.70281270627096,0.0925993437841779,True
md3016,oracle_4,3,0.6549991818033055,0.90446735395189,0.9453608247422681,0.7031689278055997,0.0925993437841779,True
md3027,local,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.08736717827626919,False
md3027,sender0_only,3,0.8089649005141964,0.994131455399061,1.0,0.8295043322197522,0.08736717827626919,False
md3027,sender1_only,3,0.8134501453163425,0.994131455399061,1.0,0.8352138181607884,0.08736717827626919,False
md3027,both,3,0.8112843729040913,0.994131455399061,1.0,0.8325864521943025,0.08736717827626919,False
md3027,oracle_single,3,0.8207299351665549,0.994131455399061,1.0,0.8424684619246596,0.08736717827626919,True
md3027,oracle_4,3,0.8211071987480438,0.994131455399061,1.0,0.8428388973386437,0.08736717827626919,True
md3034,local,3,0.5698220615712365,0.881921525485882,0.7851118445177852,0.6681926865451091,0.15717255717255718,False
md3034,sender0_only,3,0.5690013445789023,0.881921525485882,0.7917125045837917,0.66638589563643,0.15717255717255718,False
md3034,sender1_only,3,0.5734716328775734,0.881921525485882,0.7895122845617895,0.6724492117561232,0.15717255717255718,False
md3034,both,3,0.5717603506382384,0.881921525485882,0.7895122845617896,0.6699006801355559,0.15717255717255718,False
md3034,oracle_single,3,0.5881921525485883,0.881921525485882,0.8137147048038137,0.6901803624675292,0.15717255717255718,True
md3034,oracle_4,3,0.5888731730315889,0.881921525485882,0.8162816281628164,0.691154580746758,0.15717255717255718,True
md3048,local,3,0.552231206948188,0.5855345911949685,0.6012578616352201,0.5821878643231728,0.14182534471437952,False
md3048,sender0_only,3,0.5534291704103025,0.5924528301886793,0.5987421383647799,0.5845127873123571,0.14182534471437952,False
md3048,sender1_only,3,0.5529499850254567,0.5849056603773585,0.5987421383647799,0.5839967668483871,0.14182534471437952,False
md3048,both,3,0.5532494758909853,0.5874213836477987,0.60062893081761,0.5846412476443726,0.14182534471437952,False
md3048,oracle_single,3,0.5652590595986822,0.59937106918239,0.6144654088050315,0.5971726498474822,0.14182534471437952,True
md3048,oracle_4,3,0.5657981431566337,0.59937106918239,0.6150943396226415,0.5978805120787406,0.14182534471437952,True
md3055,local,3,0.6714600709423832,0.8375035950532067,0.8156456715559389,0.6880821904864347,0.1337579617834395,False
md3055,sender0_only,3,0.6695701001136722,0.8415300546448088,0.819096922634455,0.6867321158938092,0.1337579617834395,False
md3055,sender1_only,3,0.6713094210937177,0.8389416163359217,0.814207650273224,0.6882135002534332,0.1337579617834395,False
md3055,both,3,0.671240943889779,0.8403796376186367,0.8190969226344551,0.6880576975275062,0.1337579617834395,False
md3055,oracle_single,3,0.6815946971253272,0.8423928674144378,0.8208225481737129,0.6989698357768153,0.1337579617834395,True
md3055,oracle_4,3,0.6820877329936864,0.8423928674144378,0.821685360943342,0.6994141832789769,0.1337579617834395,True
