sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5482081492390771,0.7731958762886598,0.9,0.6385928011662023,970
md3027-1,md3027,A,0.8309020791415158,0.9823943661971831,1.0,0.8631361925815706,1136
md3034-1,md3034,A,0.487086803918487,0.6457645764576457,0.9603960396039604,0.7665564322570132,909
md3048-1,md3048,A,0.5935309973045821,0.8150943396226416,0.6377358490566037,0.5992190888403873,530
md3055-1,md3055,A,0.7074242984510457,0.9068162208800691,0.8697152717860225,0.7179234753446784,1159
md3016-2,md3016,B,0.684143348060874,0.9577319587628866,0.979381443298969,0.724367883621131,970
md3027-2,md3027,B,0.8133383635144198,1.0,1.0,0.829263022690224,1136
md3034-2,md3034,B,0.4128555712714128,1.0,0.4158415841584158,0.4113643380454286,909
md3048-2,md3048,B,0.6327942497753819,0.5358490566037736,0.7056603773584905,0.6401743814222187,530
md3055-2,md3055,B,0.406015037593985,0.5271786022433133,0.47540983606557374,0.4124895869832258,1159
md3016-3,md3016,C,0.7106529209621993,1.0,0.9628865979381444,0.7209532880839989,970
md3027-3,md3027,C,0.7762826961770625,1.0,1.0,0.7922973845449975,1136
md3034-3,md3034,C,0.7024988213107024,1.0,0.8008800880088008,0.7143195211878653,909
md3048-3,md3048,C,0.3431266846361186,0.3849056603773585,0.5339622641509434,0.39636256947376647,530
md3055-3,md3055,C,0.812892887957599,0.9801553062985332,0.999137187230371,0.84598507296477,1159
