sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5490427098674522,0.7731958762886598,0.8979381443298969,0.6405073089464104,970
md3027-1,md3027,A,0.8249496981891349,0.9823943661971831,1.0,0.8579055114742661,1136
md3034-1,md3034,A,0.48509612866048507,0.6457645764576457,0.9537953795379538,0.7635685382439857,909
md3048-1,md3048,A,0.5672057502246182,0.7886792452830189,0.569811320754717,0.572163208135159,530
md3055-1,md3055,A,0.6952627470315133,0.8826574633304572,0.8455565142364107,0.7061266338952313,1159
md3016-2,md3016,B,0.6856651939126165,0.9577319587628866,0.9721649484536082,0.7268913273309341,970
md3027-2,md3027,B,0.8167337357478204,1.0,1.0,0.8333074738853465,1136
md3034-2,md3034,B,0.42589973283042587,1.0,0.4081408140814081,0.42422363056792445,909
md3048-2,md3048,B,0.6504043126684637,0.5679245283018868,0.7320754716981132,0.658615750708687,530
md3055-2,md3055,B,0.36365503923743786,0.45038826574633306,0.43917169974115616,0.36938095165347457,1159
md3016-3,md3016,C,0.7114874815905744,1.0,0.9680412371134021,0.7228528336769774,970
md3027-3,md3027,C,0.7742706237424547,1.0,1.0,0.7907213219860597,1136
md3034-3,md3034,C,0.6995128084236995,1.0,0.77007700770077,0.7101143606899185,909
md3048-3,md3048,C,0.39200359389038636,0.4056603773584906,0.5641509433962264,0.4545570717431989,530
md3055-3,md3055,C,0.8081268745634577,0.9801553062985332,0.999137187230371,0.8404380976471445,1159
